medication_id,Pharma_Class,Generic_name,Drug_Name_Dose,drug_concept_id,frequency,percentage
7015364,Factor VIII Preparations (AHF),antihemophil.FVIII full length,ADVATE 1 500 (+ -) UNIT INTRAVENOUS SOLUTION,35603186,83,1.78%
6193715,Factor VIII Preparations (AHF),antihemophil.FVIII full length,ADVATE 500 (+ -) UNIT INTRAVENOUS SOLUTION,35603186,65,1.39%
6539254,Factor IX Complex (Prothrombin Complex Concentrate) Preparations,antihemophilic factor  hum rec,PCC (BLOOD),44785018,668,15.65%
2754118,Factor VIII Preparations (AHF),antihemophilic factor  hum rec,FACTOR VIIA (BLOOD),19130384,472,10.1%
3797679,Factor VIII Preparations (AHF),antihemophilic factor  hum rec,FACTOR VIII INFUSION (BLOOD),35606358,384,8.22%
4584584,Hemostatic Systemic- von Willebrand factor (vWF) Preparations,antihemophilic factor  hum rec,VON WILLEBRAND S FACTOR CONCENTRATE (BLOOD),1718120,200,76.63%
4940645,Plasma Proteins Which Facilitate Anticoagulation,antihemophilic factor  hum rec,ANTITHROMBIN III (BLOOD),46276237,103,12.42%
4895424,Factor VIII Preparations (AHF),antihemophilic factor  hum rec,FACTOR IX INFUSION (BLOOD),35602790,80,1.71%
3491393,Factor VIII Preparations (AHF),antihemophilic factor  hum rec,RECOMBINATE 2 000 (+ -) UNIT INTRAVENOUS SOLUTION,35603201,65,1.39%
5050916,Factor VIII Preparations (AHF),antihemophilic factor  hum rec,ANTIHEMOPHILIC FACTOR (RECOMB) 1 000 (+ -) UNIT INTRAVENOUS SOLUTION,35603203,62,1.33%
6981737,Factor VIII Preparations (AHF),antihemophilic factor VWF,ANTIHEMOPHILIC FACTOR-VWF 250 UNITS-600 UNITS INTRAVENOUS SOLUTION (NON-ROUNDED FOR MIXTURE USE),46276146,354,7.58%
5686043,Factor VIII Preparations (AHF),antihemophilic factor VWF,HUMATE-P 1 000 UNIT-2 400 UNIT INTRAVENOUS SOLUTION,46276148,313,6.7%
1929909,Factor VIII Preparations (AHF),antihemophilic factor VWF,ANTIHEMOPHILIC FACTOR-VWF 250 UNIT-600 UNIT INTRAVENOUS SOLUTION,46276148,308,6.59%
3741131,Factor VIII Preparations (AHF),antihemophilic factor VWF,FACTOR VIII (VWF-HUMATE-P) FOR PROVIDERS,46276148,145,3.1%
9950385,Factor VIII Preparations (AHF),antihemophilic factor VWF,HUMATE-P 500 UNIT-1 200 UNIT INTRAVENOUS SOLUTION,46276148,116,2.48%
6469722,Factor VIII Preparations (AHF),antihemophilic factor VWF,ANTIHEMOPHILIC FACTOR-VWF 500 UNIT-1 200 UNIT INTRAVENOUS SOLUTION,46276146,99,2.12%
5999849,Factor VIII Preparations (AHF),antihemophilic factor VWF,HUMATE-P 250 UNIT-600 UNIT INTRAVENOUS SOLUTION,46276148,68,1.46%
4094310,Multivitamin and Mineral Combinations,antiox #8 om3 dha epa lut zeax,PRESERVISION AREDS 2 (OMEGA-3) ORAL,"",2277,1.23%
3107297,Multivitamin and Mineral Combinations,antiox #8 om3 dha epa lut zeax,VIT C E ZINC CU-OMEGA-3-LUTEIN-ZEAXANTHIN 250 MG-2.5 MG-0.5 MG CAPSULE,1398753,79,0.04%
9814895,Multivitamin and Mineral Combinations,antiox.mv no.10 omeg3s lut zea,I-CAPS ORAL,"",434,0.23%
3756295,Multivitamin and Mineral Combinations,antiox.mv no.10 omeg3s lut zea,ANTIOX.MULTIVIT 10-OMEGA3S 280 MG-LUTEIN 10 MG-ZEAXANTHIN 2 MG CAPSULE,19016670,65,0.04%
6047949,Multivitamin and Mineral Combinations,antiox.mv no.10 omeg3s lut zea,I-CAPS 280 MG-10 MG-2 MG CAPSULE,19087063,51,0.03%
3349862,Otic (Ear) - Local Anesthetic-Analgesic Combinations,antipyrine benzocaine,ANTIPYRINE-BENZOCAINE 5.4 %-1.4 % EAR DROPS,19048403,5528,94.71%
5253400,Otic (Ear) - Local Anesthetic-Analgesic Combinations,antipyrine benzocaine,ANTIPYRINE-BENZOCAINE 5.5 %-1.4 % EAR DROPS,40242539,116,1.99%
2959737,Otic (Ear) - Local Anesthetic-Analgesic Combinations,antipyrine benzocaine,EAR DROPS OTIC,"",64,1.1%
1702488,Plasma Proteins Which Facilitate Anticoagulation,antithrombin III (plasma der),ANTITHROMBIN III (HUMAN) 500 (+ -) UNIT INTRAVENOUS SOLUTION,46275896,703,84.8%
3764446,Antineoplastic - Antiandrogens,apalutamide,APALUTAMIDE 60 MG TABLET,963999,410,1.47%
6041228,Antineoplastic - Antiandrogens,apalutamide,ERLEADA 60 MG TABLET,963999,66,0.24%
4557655,Antineoplastic - Antiandrogens,apalutamide,APALUTAMIDE 240 MG TABLET,963987,59,0.21%
6020071,Direct Factor Xa Inhibitors,apixaban,APIXABAN 5 MG TABLET,793646,231943,38.83%
4615007,Direct Factor Xa Inhibitors,apixaban,APIXABAN 2.5 MG TABLET,43013027,91647,15.34%
6726367,Direct Factor Xa Inhibitors,apixaban,ELIQUIS 5 MG TABLET,43013031,80881,13.54%
1302312,Direct Factor Xa Inhibitors,apixaban,ELIQUIS 2.5 MG TABLET,43013027,20106,3.37%
9728590,Direct Factor Xa Inhibitors,apixaban,ELIQUIS DVT-PE TREATMENT 30-DAY STARTER 5 MG (74 TABLETS) IN DOSE PACK,793646,3117,0.52%
1673218,Direct Factor Xa Inhibitors,apixaban,APIXABAN 5 MG (74 TABS) TABLETS IN A DOSE PACK,793646,2669,0.45%
2557101,Direct Factor Xa Inhibitors,apixaban,ELIQUIS ORAL,"",1087,0.18%
5509328,Direct Factor Xa Inhibitors,apixaban,APIXABAN ORAL,"",66,0.01%
5507039,Antiparkinson Therapy - Non-ergot Dopamine Agonist Agents,apomorphine HCl,APOMORPHINE 10 MG ML SUBCUTANEOUS CARTRIDGE,40162459,70,0.09%
8436022,"Ophthalmic-Intraocular Press. Reducing, Sel. Alpha Adrenergic Agonists",apraclonidine HCl,APRACLONIDINE 0.5 % EYE DROPS,19010678,608,1.53%
9391724,"Ophthalmic-Intraocular Press. Reducing, Sel. Alpha Adrenergic Agonists",apraclonidine HCl,APRACLONIDINE 1 % EYE DROPS IN A DROPPERETTE,19045686,258,0.65%
3801449,DMARD - Phosphodiesterase-4 (PDE4) Inhibitors,apremilast,APREMILAST 30 MG TABLET,44816128,6258,62.65%
7385672,DMARD - Phosphodiesterase-4 (PDE4) Inhibitors,apremilast,OTEZLA 30 MG TABLET,44816128,2622,26.25%
9089151,DMARD - Phosphodiesterase-4 (PDE4) Inhibitors,apremilast,APREMILAST 10 MG (4)-20 MG (4)-30 MG (47) TABLETS IN A DOSE PACK,46221785,1234,12.35%
7013892,DMARD - Phosphodiesterase-4 (PDE4) Inhibitors,apremilast,OTEZLA STARTER 10 MG (4)-20 MG (4)-30 MG(47) TABLETS IN A DOSE PACK,46221785,309,3.09%
7712229,DMARD - Phosphodiesterase-4 (PDE4) Inhibitors,apremilast,OTEZLA ORAL,"",208,2.08%
8535868,DMARD - Phosphodiesterase-4 (PDE4) Inhibitors,apremilast,APREMILAST 10 MG (4)-20 MG (4)-30 MG (19) TABLETS IN A DOSE PACK,44816130,141,1.41%
6106685,DMARD - Phosphodiesterase-4 (PDE4) Inhibitors,apremilast,OTEZLA STARTER 10 MG (4)-20 MG (4)-30 MG(19) TABLETS IN A DOSE PACK,44816130,98,0.98%
8472183,Antiemetic - Substance P-Neurokinin 1 (NK1) Receptor Antagonists,aprepitant,APREPITANT 130 MG 18 ML (7.2 MG ML) INTRAVENOUS EMULSION,793682,58650,56.01%
9375376,Antiemetic - Substance P-Neurokinin 1 (NK1) Receptor Antagonists,aprepitant,APREPITANT 125 MG (1)-80 MG (2) CAPSULES IN A DOSE PACK,19128382,2802,2.68%
8583968,Antiemetic - Substance P-Neurokinin 1 (NK1) Receptor Antagonists,aprepitant,APREPITANT 125 MG CAPSULE,19102771,2158,2.06%
4056991,Antiemetic - Substance P-Neurokinin 1 (NK1) Receptor Antagonists,aprepitant,APREPITANT 40 MG CAPSULE,936787,1344,1.28%
2863808,Antiemetic - Substance P-Neurokinin 1 (NK1) Receptor Antagonists,aprepitant,APREPITANT 80 MG CAPSULE,19102770,1280,1.22%
2314136,Antiemetic - Substance P-Neurokinin 1 (NK1) Receptor Antagonists,aprepitant,EMEND 125 MG (1)-80 MG (2) CAPSULES IN A DOSE PACK,19128382,525,0.5%
3343362,Antiemetic - Substance P-Neurokinin 1 (NK1) Receptor Antagonists,aprepitant,HIC 2000028712 APREPITANT 40 MG OR PLACEBO CAPSULES,936787,152,0.15%
2910561,Antiemetic - Substance P-Neurokinin 1 (NK1) Receptor Antagonists,aprepitant,EMEND ORAL,"",82,0.08%
1458925,"Asthma/COPD Therapy - Beta 2-Adrenergic Agents, Inhaled, Long Acting",arformoterol tartrate,ARFORMOTEROL 15 MCG 2 ML SOLUTION FOR NEBULIZATION,1111243,1611,22.78%
7121179,"Asthma/COPD Therapy - Beta 2-Adrenergic Agents, Inhaled, Long Acting",arformoterol tartrate,BROVANA 15 MCG 2 ML SOLUTION FOR NEBULIZATION,1111243,516,7.3%
3110757,Nutritional Product - Protein Replacements,argin glut CaHMB collag mv-min,JUVEN (WITH COLLAGEN) 7 GRAM-7 GRAM-1.5 GRAM ORAL POWDER PACKET,19100754,74,0.6%
1523012,"Amino Acids, Single Ingredient, Oral (non-injectable)",arginine,ARGININE (L-ARGININE) 500 MG TABLET,19006441,476,6.23%
6436510,"Amino Acids, Single Ingredient, Oral (non-injectable)",arginine,ARGININE (L-ARGININE) ORAL,"",167,2.19%
3197968,"Amino Acids, Single Ingredient, Oral (non-injectable)",arginine,ARGININE (L-ARGININE) 500 MG CAPSULE,19028349,94,1.23%
8677860,"Amino Acids, Single Ingredient, Oral (non-injectable)",arginine,ARGININE (L-ARGININE) 500 MG ORAL POWDER PACKET,19100754,91,1.19%
4901654,Diagnostic Drugs - Metabolic Function,arginine HCl,ARGININE HCL (L-ARGININE) 10 % INTRAVENOUS SOLUTION,19011039,1191,85.75%
7861478,"Amino Acids, Single Ingredient, Oral (non-injectable)",arginine HCl,ARGININE HCL (L-ARGININE) 1 000 MG TABLET,19006474,116,1.52%
2120949,"Amino Acids, Single Ingredient, Oral (non-injectable)",arginine HCl,ARGININE HCL (L-ARGININE) ORAL,"",70,0.92%
6591638,Nutritional Product - Protein Replacements,arginine glutamine calcium bmb,JUVEN 7 GRAM-7 GRAM-1.5 GRAM ORAL POWDER PACKET,19011039,91,0.74%
6004618,Nutritional Product - Protein Replacements,arginine glutamine calcium bmb,JUVEN ORAL,"",77,0.63%
7482460,Nutritional Product - Protein Replacements,arginine glutamine calcium bmb,ARGININE 7 GRAM-GLUTAMINE 7 GRAM-CALCIUM HMB 1.5 GRAM ORAL POWDER PACK,19011039,70,0.57%
2631278,Nutritional Product - Parenteral and other Amino Acids,arginine lysine sterile water,ARGININE 25 MG-LYSINE 25MG ML IN STERILE WATER INTRAVENOUS SOLUTION,19100754,134,97.1%
8108462,"Amino Acids, Single Ingredient, Oral (non-injectable)",arginine oxoglurate,L-ARGININE(ALPHA-KETOGLUTARAT) ORAL,"",78,1.02%
9230636,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE 5 MG TABLET,19102836,61426,35.13%
7030662,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE 2 MG TABLET,757759,36826,21.06%
2715370,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE 10 MG TABLET,19098477,35338,20.21%
2297254,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE 15 MG TABLET,19098478,17978,10.28%
8387132,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE 20 MG TABLET,19098479,12653,7.24%
4359950,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE 30 MG TABLET,19098480,6779,3.88%
2377371,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE 1 MG ML ORAL SOLUTION,757756,2402,1.37%
3326486,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE 9.75 MG 1.3 ML INTRAMUSCULAR SOLUTION,19125353,1871,1.07%
9978383,Antipsychotic - Atypical Dopamine Partial Agonist-Serotonin Mixed,aripiprazole,ARIPIPRAZOLE (ABILIFY) 7.5 MG HALFTAB,19098478,1552,72.46%
5879138,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ABILIFY ORAL,"",1551,0.89%
6910557,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ABILIFY 5 MG TABLET,19102836,1168,0.67%
2474119,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ABILIFY 2 MG TABLET,757759,797,0.46%
4377493,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE 10 MG DISINTEGRATING TABLET,19124359,755,0.43%
7891342,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ABILIFY 10 MG TABLET,19098477,641,0.37%
3079893,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole,ABILIFY MAINTENA 400 MG SUSPENSION EXTENDED REL. INTRAMUSCULAR SYRINGE,45892210,565,5.18%
9994927,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole,ARIPIPRAZOLE ER 400 MG SUSPENSION  EXTENDED REL.INTRAMUSCULAR SYRINGE,45892210,562,5.16%
3645883,Antipsychotic - Atypical Dopamine Partial Agonist-Serotonin Mixed,aripiprazole,ARIPIPRAZOLE (ABILIFY) 2.5 MG HALFTAB,19102836,502,23.44%
4480426,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole,ARIPIPRAZOLE ER 400 MG INTRAMUSCULAR SUSPENSION EXTENDED RELEASE,46275767,391,3.59%
1768280,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ABILIFY 15 MG TABLET,19098478,361,0.21%
8731964,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole,ABILIFY MAINTENA 400 MG INTRAMUSCULAR SUSPENSION EXTENDED RELEASE,46275767,344,3.16%
3226084,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ABILIFY 20 MG TABLET,19098479,249,0.14%
1814977,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole,ABILIFY MAINTENA 300 MG INTRAMUSCULAR SUSPENSION EXTENDED RELEASE,46275771,200,1.83%
3018165,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE 15 MG DISINTEGRATING TABLET,19124361,178,0.1%
7118939,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ABILIFY 30 MG TABLET,19098480,175,0.1%
9171244,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole,ABILIFY MAINTENA 300 MG SUSPENSION EXTENDED REL. INTRAMUSCULAR SYRINGE,45892208,145,1.33%
3383164,Antipsychotic - Atypical Dopamine Partial Agonist-Serotonin Mixed,aripiprazole,ARIPIPRAZOLE (ABILIFY) 1 MG HALFTAB,757759,112,5.23%
5546816,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole,ARIPIPRAZOLE MONOHYDRATE (ABILIFY MAINTENA) THERAPY PLACEHOLDER,45892208,76,0.7%
6863896,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ARIPIPRAZOLE ORAL,"",56,0.03%
5789813,Bipolar Therapy Agents - Atypical Antipsychotics,aripiprazole,ABILIFY 1 MG ML ORAL SOLUTION,757756,54,0.03%
1086206,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole,ARIPIPRAZOLE ER 300 MG INTRAMUSCULAR SUSPENSION EXTENDED RELEASE,46275771,51,0.47%
2066164,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole,ARIPIPRAZOLE ER 300 MG SUSPENSION  EXTENDED REL. INTRAMUSCULAR SYRINGE,45892208,50,0.46%
9339546,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole lauroxil,ARIPIPRAZOLE LAUROXIL ER 882 MG 3.2 ML SUSPENSION  EXT.REL. IM SYRINGE,35602838,306,2.81%
1743915,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole lauroxil,ARISTADA 882 MG 3.2 ML SUSPENSION  EXTEND.REL. IM SYRINGE,35602838,144,1.32%
1501105,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole lauroxil,ARIPIPRAZOLE LAUROXIL ER 441 MG 1.6 ML SUSPENSION  EXT.REL. IM SYRINGE,35602832,113,1.04%
3987704,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole lauroxil,ARIPIPRAZOLE LAUROXIL ER 662 MG 2.4 ML SUSPENSION  EXT.REL. IM SYRINGE,35602836,75,0.69%
9846928,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole lauroxil,ARIPIPRAZOLE LAUROXIL (ARISTADA) THERAPY PLACEHOLDER,35602832,57,0.52%
6680179,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole lauroxil,ARISTADA 662 MG 2.4 ML SUSPENSION  EXTEND.REL. IM SYRINGE,35602836,51,0.47%
1670708,"Antipsychotic-Atypical,D2 Receptor Partial Agonist-5HT Serotonin Mixed",aripiprazole lauroxil submicr.,ARIPIPRAZOLE LAUROXIL SUBMIC. ER 675 MG 2.4 ML SUSP EXT.REL.IM SYRINGE,1560167,176,1.61%
4802720,Medical Supplies and DME - Elastic Bandages and Supports,arm brace,ARM BRACE,"",796,29.75%
5357696,Medical Supplies and DME - Elastic Bandages and Supports,arm brace,WRIST BRACE,"",187,6.99%
8375554,Medical Supplies and DME - Elastic Bandages and Supports,arm brace,WRIST BRACE MEDIUM,"",70,2.62%
9351582,Narcolepsy Therapy Agents - Non-Sympathomimetic,armodafinil,ARMODAFINIL 250 MG TABLET,19131945,5842,15.46%
4367357,Narcolepsy Therapy Agents - Non-Sympathomimetic,armodafinil,ARMODAFINIL 150 MG TABLET,19131942,4064,10.76%
6509061,Narcolepsy Therapy Agents - Non-Sympathomimetic,armodafinil,ARMODAFINIL 50 MG TABLET,19131947,1362,3.61%
3230740,Narcolepsy Therapy Agents - Non-Sympathomimetic,armodafinil,ARMODAFINIL 200 MG TABLET,40165469,799,2.12%
8144015,Narcolepsy Therapy Agents - Non-Sympathomimetic,armodafinil,NUVIGIL 250 MG TABLET,19131945,647,1.71%
6344315,Narcolepsy Therapy Agents - Non-Sympathomimetic,armodafinil,NUVIGIL 150 MG TABLET,19131942,515,1.36%
3517047,Narcolepsy Therapy Agents - Non-Sympathomimetic,armodafinil,NUVIGIL ORAL,"",165,0.44%
4214419,Narcolepsy Therapy Agents - Non-Sympathomimetic,armodafinil,NUVIGIL 200 MG TABLET,40165469,106,0.28%
9589080,Narcolepsy Therapy Agents - Non-Sympathomimetic,armodafinil,NUVIGIL 50 MG TABLET,19131947,65,0.17%
5831074,Alternative Therapy - Unclassified,arnica flower,ARNICA FLOWER (BULK) MISC,"",131,0.08%
3417797,Antineoplastic - Arsenic Compounds,arsenic trioxide,ARSENIC TRIOXIDE 1 MG ML INTRAVENOUS SOLUTION,1333522,3932,87.83%
6344157,Antineoplastic - Arsenic Compounds,arsenic trioxide,ARSENIC TRIOXIDE 2 MG ML INTRAVENOUS SOLUTION,793270,545,12.17%
7034637,Antineoplastic - Protein-Tyrosine Kinase Inhibitors,asciminib hydrochloride,ASCIMINIB 40 MG TABLET,"",420,0.69%
8673505,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbate calcium,ESTER-C ORAL,"",1029,0.51%
9368636,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbate calcium,ASCORBATE CALCIUM (VITAMIN C) 500 MG TABLET,19133553,444,0.22%
7690630,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbate calcium,VITAMIN C (ASCORBATE CALCIUM) ORAL,"",189,0.09%
9593141,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbate calcium,ASCORBATE CALCIUM ORAL,"",116,0.06%
8808185,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbate calcium,ASCORBATE CALCIUM (VITAMIN C) ORAL,"",67,0.03%
2910894,Bioflavonoid Combinations,ascorbate calcium bioflavonoid,ASCORBATE CALCIUM-BIOFLAVONOID 1 000 MG-200 MG TABLET,42899412,54,2.03%
7099656,Vitamin C Combinations,ascorbate calcium multivit-min,ASCORBATE CALCIUM-MULTIVIT-MIN 1 000 MG ORAL POWDER EFFERVESCENT PAKT,45775210,132,11.03%
8905176,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 500 MG TABLET,19044961,87312,42.96%
2860967,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 1 000 MG TABLET,19011914,30889,15.2%
7711007,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 250 MG TABLET,19021150,26861,13.21%
9534863,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C ORAL,"",23614,11.62%
6727149,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 100 MG TABLET,19011779,11537,5.68%
9364888,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 500 MG ML INJECTION SOLUTION,42543835,6508,3.2%
2097381,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C 500 MG TABLET,19069200,5315,2.61%
9944425,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C 1 000 MG TABLET,19011853,4764,2.34%
6557638,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 250 MG CHEWABLE TABLET,19011912,2260,1.11%
6148007,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) ER 500 MG CAPSULE EXTENDED RELEASE,19073619,1591,0.78%
6426455,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 500 MG 5 ML ORAL SYRUP,19045990,1111,0.55%
5133608,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 500 MG CHEWABLE TABLET,19044962,1094,0.54%
4423855,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITA-C ORAL,"",857,0.42%
5969949,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) ORAL,"",607,0.3%
1910419,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 500 MG CAPSULE,19011888,596,0.29%
4194538,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 500 MG 5 ML ORAL LIQUID,19045990,561,0.28%
7718768,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C 250 MG TABLET,19021150,503,0.25%
8509514,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,SUPER LIPO-B INJECTION,"",481,0.24%
3179526,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C 100 MG TABLET,19011779,367,0.18%
8885145,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) ER 1 000 MG TABLET EXTENDED RELEASE,19073590,334,0.16%
8363225,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID ORAL,"",291,0.14%
9825670,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 550 MG 1.1 GRAM (SCOOP) ORAL POWDER,45776475,179,0.09%
7571227,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 125 MG CHEWABLE TABLET,19012031,145,0.07%
6741693,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) ORAL POWDER,40158849,136,0.07%
3933485,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C 250 MG CHEWABLE TABLET,19073612,135,0.07%
2733163,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,MAGNESIUM GLYCINATE PLUS TABLETS,"",134,0.07%
9162898,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) 100 MG CHEWABLE TABLET,19012110,122,0.06%
7127325,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C DROPS ORAL,"",113,0.06%
1501839,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C 500 MG CHEWABLE TABLET,19079896,104,0.05%
4913721,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,CHEWABLE VITAMIN C ORAL,"",100,0.05%
5921320,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C ORAL POWDER,40158849,93,0.05%
8313095,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C) ER 500 MG TABLET EXTENDED RELEASE,19073620,87,0.04%
6313067,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C WITH ROSE HIPS 500 MG TABLET,19069200,85,0.04%
9148702,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID 500MG IN NS 50ML BAG,19040502,85,0.04%
7180989,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,ASCORBIC ACID (VITAMIN C)(BULK) 100 % POWDER,40235242,83,0.04%
6255515,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C 500 MG CAPSULE EXTENDED RELEASE,19073619,62,0.03%
5714498,"Vitamins - C, Ascorbic Acid and Derivatives",ascorbic acid,VITAMIN C 125 MG CHEWABLE TABLET,19012031,61,0.03%
4083329,Dietary Product - Dietary Supplements,ascorbic acid collagen hydr,COLLAGEN PLUS VITAMIN C ORAL,"",427,0.53%
7316501,Dietary Product - Dietary Supplements,ascorbic acid collagen hydr,COLLAGEN SKIN RENEWAL ORAL,"",230,0.29%
4177603,Dietary Product - Dietary Supplements,ascorbic acid collagen hydr,ASCORBIC ACID-COLLAGEN ORAL,"",119,0.15%
4979225,Dietary Product - Dietary Supplements,ascorbic acid collagen hydr,ASCORBIC ACID 125 MG-COLLAGEN  HYDROLYZED 740 MG CAPSULE,19121235,53,0.07%
2840403,Alternative Therapy - Unclassified,ascorbic acid elderberry fruit,AIRBORNE (ELDERBERRY) ORAL,"",137,0.08%
6068564,Alternative Therapy - Unclassified,ascorbic acid elderberry fruit,ASCORBIC ACID 100 MG-ELDERBERRY FRUIT 50 MG CHEWABLE TABLET,42899412,67,0.04%
5186582,Vitamin C Combinations,ascorbic acid multivit-min,EMERGEN-C ORAL,"",394,32.92%
