procedure_id,concept_name,concept_id,order_code,order_description,frequency,percentage,domain_id,vocabulary_id,concept_code,concept_class_id
5302817,Oxygen administration by non rebreather mask,44790731,RT64,NON-REBREATHER MASK OXYGEN,41357,0.07%,Procedure,SNOMED,240051000000102,Procedure
1573989,No matching concept,0,IMG3220,ED ULTRASOUND EDUCATION,41301,0.07%,Metadata,None,No matching concept,Undefined
8794003,Fetal echocardiography,4334808,IMG3764,US MFM NEW FETAL ECHOCARDIOGRAM (PERI ONLY)(YH BH),41245,0.07%,Procedure,SNOMED,433235006,Procedure
8686333,"Radiologic examination, spine, entire thoracic and lumbar, including skull, cervical and sacral spine if performed (eg, scoliosis evaluation); 2 or 3 views",42628578,IMG1278,XR SCOLIOSIS SURVEY AP OR PA AND LAT ENT SPINE (GH YH YC BH LM),41159,0.07%,Procedure,CPT4,72082,CPT4
2426738,Maintenance of gastrointestinal tract tube,4293748,NUR315,GASTRIC TUBE,40835,0.07%,Procedure,SNOMED,384745002,Procedure
9123101,Fetal biophysical profile,4070024,IMG3255,US MFM BIOPHYSICAL PROFILE (PERI ONLY)(GH YH BH NE LM),40809,0.07%,Procedure,SNOMED,21623001,Procedure
5832888,Home oxygen therapy,4140455,SUP2501,A  HOME O2 THERAPY,40801,0.07%,Procedure,SNOMED,426990007,Procedure
8066156,"Magnetic resonance angiography, head; without contrast material(s)",2211345,IMG263,MRA BRAIN WO IV CONTRAST,40797,0.07%,Procedure,CPT4,70544,CPT4
6382390,Administration of measles and mumps and rubella and varicella virus vaccine,4162329,IMM7,MMR AND VARICELLA COMBINED VACCINE SC,40673,0.07%,Procedure,SNOMED,432636005,Procedure
3079813,No matching concept,0,REF89,AMB REFERRAL TO PLASTIC SURGERY,40597,0.07%,Metadata,None,No matching concept,Undefined
3315248,No matching concept,0,PRE20,NO PRECAUTIONS REQUIRED,40576,0.07%,Metadata,None,No matching concept,Undefined
4742722,No matching concept,0,NUR138,WEIGHT BEARING AS TOLERATED,40210,0.07%,Metadata,None,No matching concept,Undefined
8307473,Computerized axial tomography of brain,4145739,IMG3313,OSF CT BRAIN,40092,0.07%,Procedure,SNOMED,34227000,Procedure
7637892,No matching concept,0,LAB3435,RESP VIRUS DFA AND PCR     (YH),39957,0.07%,Metadata,None,No matching concept,Undefined
7404179,No matching concept,0,LAB196,PROTEIN  BODY FLUID     (BH GH L LMW YH),39654,0.07%,Metadata,None,No matching concept,Undefined
7971401,Single photon emission computed tomography with computed tomography,42872447,NMC3004,NM SPECT CT READ,39594,0.07%,Procedure,SNOMED,450438002,Procedure
1761819,Administration of influenza vaccine,4313306,IMM88,FLU VACCINE 6-35MO QUAD PRESERVATIVE FREE IM,39537,0.07%,Procedure,SNOMED,86198006,Procedure
2963061,Ultrasonography of bilateral breasts,42535066,IMG4281,US BREAST BILATERAL LIMITED DIAGNOSTIC (BH GH YH),39395,0.07%,Procedure,SNOMED,1571000087109,Procedure
4077675,"Continuous positive airway pressure ventilation (CPAP), initiation and management",2314035,RT128,CPAP NIV,39368,0.07%,Procedure,CPT4,94660,CPT4
7537950,"Computed tomography, abdomen and pelvis; without contrast material in one or both body regions, followed by contrast material(s) and further sections in one or both body regions",40756956,IMG1771,MRI ABDOMEN PELVIS W WO IV CONTRAST(BH GH YH YHC LM),39362,0.07%,Procedure,CPT4,74178,CPT4
7763636,No matching concept,0,REF91,AMB REFERRAL TO PSYCHIATRY,39301,0.07%,Metadata,None,No matching concept,Undefined
7520251,No matching concept,0,CVR09,CARDIAC STRESS TEST RESULT SCAN,39150,0.07%,Metadata,None,No matching concept,Undefined
7333722,No matching concept,0,REF143,AMB REFERRAL TO DIAGNOSTIC RADIOLOGY,39058,0.07%,Metadata,None,No matching concept,Undefined
2234832,No matching concept,0,LAB3003,GENITAL GRAM STAIN     (BH),39019,0.07%,Metadata,None,No matching concept,Undefined
8136267,Hearing examination,4134565,AUD11,COMPREHENSIVE HEARING TEST,38923,0.07%,Procedure,SNOMED,398171003,Procedure
9534915,"Radiologic examination, knee; 3 views",2211481,IMG130,XR KNEE LEFT AP LATERAL AND AXIAL,38910,0.07%,Procedure,CPT4,73562,CPT4
9893388,"Computed tomography, abdomen; without contrast material, followed by contrast material(s) and further sections",2211512,IMG238,CT ABDOMEN W WO IV CONTRAST,38721,0.07%,Procedure,CPT4,74170,CPT4
3910928,Arterial catheter care,4172032,NUR431,ARTERIAL LINE MAINTENANCE,38690,0.07%,Procedure,SNOMED,422744007,Procedure
4844145,Cardiac electrophysiology,4098039,EP22,EP STUDY,38567,0.07%,Procedure,SNOMED,252425004,Procedure
1395340,No matching concept,0,CON190,IP CONSULT TO PICC SERVICE ADULT,38550,0.07%,Metadata,None,No matching concept,Undefined
5564120,Cardiac magnetic resonance imaging for velocity flow mapping (List separately in addition to code for primary procedure),40756909,IMG325,MRI HEART W WO IV CONTRAST W VELOCITY FLOW (BH YH GH),38372,0.07%,Procedure,CPT4,75565,CPT4
4257267,No matching concept,0,DIET111,DIET ICE CHIPS,38355,0.07%,Metadata,None,No matching concept,Undefined
5582588,No matching concept,0,LAB9826,ZZZMRSA BY PCR- VANCO RX (PHARMACY USE ONLY) (YH),38305,0.07%,Metadata,None,No matching concept,Undefined
1018053,No matching concept,0,REF108,AMB REFERRAL TO VASCULAR SURGERY,38290,0.07%,Metadata,None,No matching concept,Undefined
7577829,Incision AND drainage,4211374,PRO86,INCISION AND DRAINAGE,38064,0.07%,Procedure,SNOMED,56783008,Procedure
4337217,No matching concept,0,LAB5028,OCCULT BLOOD *2 OR *3     (BH GH YH),37960,0.07%,Metadata,None,No matching concept,Undefined
2163603,"Catheterization for collection of specimen, single patient, all places of service",2720562,NUR376,CATHETERIZATION FOR SPEC COLLECTION,37919,0.07%,Procedure,HCPCS,P9612,HCPCS
4274366,No matching concept,0,SUP2502,SLEEP LAB DURABLE MEDICAL EQUIPMENT ORDERS,37871,0.07%,Metadata,None,No matching concept,Undefined
9862744,Methicillin resistant Staphylococcus aureus screening test,4296650,LAB9184,MSSA   MRSA SCREEN BY PCR   (BH GH LMW YH),37871,0.07%,Procedure,SNOMED,401289003,Procedure
4562836,No matching concept,0,IMM168,INFLUENZA  ADJUVANTED  INACTIVATED  TRIVALENT  (65YR+)  PF,37842,0.07%,Metadata,None,No matching concept,Undefined
6863793,"Ultrasound, pelvic (nonobstetric), real time with image documentation; limited or follow-up (eg, for follicles)",2211768,IMG2930,US NON-OB TRANSVAG LTD TRANSPELVIC W LTD DOPP (BH YH YHC LM WH),37743,0.07%,Procedure,CPT4,76857,CPT4
6082434,Seizure precautions,4273223,PRE2,SEIZURE PRECAUTIONS,37604,0.07%,Procedure,SNOMED,64461008,Procedure
5799854,"Rotavirus vaccination, 2 dose schedule",765604,IMM83,ROTAVIRUS VACCINE MONOVALENT 2 DOSE ORAL,37465,0.07%,Procedure,SNOMED,434741000124104,Procedure
3572340,No matching concept,0,NUR205,ZZZRETIRED SITTER AT BEDSIDE,37450,0.07%,Metadata,None,No matching concept,Undefined
9192804,Radius and ulna X-ray,40445132,IMG96,XR RADIUS ULNA LEFT AP AND LATERAL,37269,0.07%,Procedure,SNOMED,241067008,Procedure
1884142,Transvaginal obstetric ultrasonography,4324607,IMG2970,US MFM GYN TRANSVAGINAL (PERI ONLY)(GH YH BH LM),37164,0.07%,Procedure,SNOMED,430064008,Procedure
6266312,No matching concept,0,NUR3239,NEWBORN EVALUATION,37114,0.07%,Metadata,None,No matching concept,Undefined
5494343,"Computed tomography, maxillofacial area; without contrast material",2211333,IMG1242,CT FACIAL BONES WO IV CONTRAST,37110,0.07%,Procedure,CPT4,70486,CPT4
8435931,"Interrogation device evaluation (in person) with analysis, review and report by a physician or other qualified health care professional, includes connection, recording and disconnection per patient encounter; single, dual, or multiple lead pacemaker syste",2313855,CAR72,PACEMAKER INTERROGATION-IN OFFICE,37022,0.07%,Procedure,CPT4,93288,CPT4
9876565,No matching concept,0,ADT50,ZZZRETIREDYNH OBSERVATION PT RELEASE,36899,0.07%,Metadata,None,No matching concept,Undefined
4087310,No matching concept,0,IMM300,COVID-19 PFIZER BIVALENT  12 YRS+  0.3 ML,36816,0.07%,Metadata,None,No matching concept,Undefined
1933247,"Ultrasound scan, non-obstetric diagnostic",4085440,IMG3218,ED DIAGNOSTIC ULTRASOUND FAST,36767,0.07%,Procedure,SNOMED,241447007,Procedure
4992325,"",221176,IMG4422,US PELVIS COMPLETE W TRANSVAGINAL(LM WH),36765,0.07%,"","","",""
8103538,MRI of left shoulder,37109234,IMG1332,MRI SHOULDER LEFT WO IV CONTRAST,36345,0.07%,Procedure,SNOMED,2581000087100,Procedure
5763052,No matching concept,0,11581729,COMMUNICATION TO SCHEDULER,36318,0.07%,Metadata,None,No matching concept,Undefined
1909890,No matching concept,0,ADT177,ZZZRETIREDED SOBRIETY MEDICAL CLEARANCE,36204,0.07%,Metadata,None,No matching concept,Undefined
5051882,No matching concept,0,IMM84,DTAP IPV COMBINED VACCINE IM,36183,0.07%,Metadata,None,No matching concept,Undefined
2155848,MRI of cervical spine,4082840,IMG3359,OSF MRI CERVICAL SPINE,36147,0.07%,Procedure,SNOMED,241646009,Procedure
3116370,No matching concept,0,NUR887,CHAIR CUSHION,36074,0.06%,Metadata,None,No matching concept,Undefined
3460158,No matching concept,0,LAB259,GIARDIA ANTIGEN (LAB ORDER ONLY),35942,0.06%,Metadata,None,No matching concept,Undefined
6440147,No matching concept,0,REF45,AMB REFERRAL TO NEPHROLOGY,35593,0.06%,Metadata,None,No matching concept,Undefined
3209084,"Radiologic examination, spine, cervical; 4 or 5 views",2211389,IMG58,XR CERVICAL SPINE AP LATERAL ODONTOID AND OBL(BH GH YH YHC),35582,0.06%,Procedure,CPT4,72050,CPT4
3380461,No matching concept,0,REF95,AMB REFERRAL TO RADIATION ONCOLOGY,35540,0.06%,Metadata,None,No matching concept,Undefined
7608908,Duplex scan of lower extremity arteries or arterial bypass grafts; complete bilateral study,2313985,IMG1206,US DUPLEX LOWER EXTREMITY ARTERIES BILATERAL,35525,0.06%,Procedure,CPT4,93925,CPT4
3852569,No matching concept,0,CON47,IP CONSULT TO ONCOLOGY,35505,0.06%,Metadata,None,No matching concept,Undefined
5728912,No matching concept,0,PR901,BONES DRAIN INJ LARGE JOINT BURSA (ORD),35378,0.06%,Metadata,None,No matching concept,Undefined
7929174,No matching concept,0,NUR579,LLL  FLUOROURACIL TREATMENT CONDITIONS,35365,0.06%,Metadata,None,No matching concept,Undefined
8522085,No matching concept,0,LAB10852,ZZZRESPIRATORY VIRUS PCR PANEL  (YH VERIGENE)(LAB ORDER ONLY),35330,0.06%,Metadata,None,No matching concept,Undefined
8166871,"Doppler echocardiography, fetal, pulsed wave and/or continuous wave with spectral display; complete",2211763,ECH118,PEDI ECHO 2D COMPLETE W DOPPLER AND CFI IF INDICATED 3D,35282,0.06%,Procedure,CPT4,76827,CPT4
3587862,No matching concept,0,REF87,AMB REFERRAL TO PHYSICAL THERAPY,35251,0.06%,Metadata,None,No matching concept,Undefined
1691868,No matching concept,0,NUR1855,RESEARCH NURSING COMMUNICATION,35012,0.06%,Metadata,None,No matching concept,Undefined
4714223,X-ray of right knee,4146289,IMG133,XR KNEE RIGHT AP LATERAL AXIAL AND TUNNEL,34919,0.06%,Procedure,SNOMED,427407003,Procedure
6257345,No matching concept,0,LAB10034,BACTERIAL VAGINOSIS BY NAAT,34898,0.06%,Metadata,None,No matching concept,Undefined
7567795,No matching concept,0,PHA16,VANCOMYCIN LEVEL  PHARMACY TO EVALUATE,34867,0.06%,Metadata,None,No matching concept,Undefined
2271047,"CT of chest, abdomen and pelvis without contrast",36713194,IMG790,CT CHEST ABDOMEN PELVIS WO IV CONTRAST,34849,0.06%,Procedure,SNOMED,393161000119104,Procedure
7897921,No matching concept,0,CON62,IP CONSULT TO INTERNAL MEDICINE,34771,0.06%,Metadata,None,No matching concept,Undefined
2678178,"","",POC229,POCT SARS COV-2 (COVID-19) PCR INFLUENZA A+B (YALE NEW HAVEN URGENT CARE),34761,0.06%,"","","",""
5098520,No matching concept,0,LAB10830,CYTOLOGY GYN CASES (GH LMW),34720,0.06%,Metadata,None,No matching concept,Undefined
6559112,Ultrasound scan for fetal nuchal translucency,4237339,IMG4273,US MFM NUCHAL TRANS 11-13 WK (PERI ONLY),34626,0.06%,Procedure,SNOMED,408815001,Procedure
2923095,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, thoracic; without contrast material",2211412,IMG281,MRI THORACIC SPINE WO IV CONTRAST,34515,0.06%,Procedure,CPT4,72146,CPT4
7024324,No matching concept,0,NUR396,PUNCTURE SITE CARE,34509,0.06%,Metadata,None,No matching concept,Undefined
8989462,No matching concept,0,NUR2214,COMFORT MEASURES ONLY,34506,0.06%,Metadata,None,No matching concept,Undefined
7287097,No matching concept,0,NUR44,DANGLE AT BEDSIDE,34502,0.06%,Metadata,None,No matching concept,Undefined
2854235,No matching concept,0,DIET48,DIET RENAL HEMODIALYSIS,34471,0.06%,Metadata,None,No matching concept,Undefined
1129088,No matching concept,0,SUR1,CASE REQUEST OPERATING ROOM,34463,0.06%,Metadata,None,No matching concept,Undefined
6694392,No matching concept,0,LAB4185,CLOT TO BLOOD BANK     (YH),34420,0.06%,Metadata,None,No matching concept,Undefined
7971725,"Ultrasound, pelvic (nonobstetric), real time with image documentation; limited or follow-up (eg, for follicles)",2211768,IMG550,US PELVIS LIMITED,34375,0.06%,Procedure,CPT4,76857,CPT4
5261850,No matching concept,0,LAB10035,CANDIDA & TRICHOMONAS VAGINITIS BY NAAT (BH GH LMW YH),34356,0.06%,Metadata,None,No matching concept,Undefined
7028276,X-ray of radius and ulna,40487892,IMG97,XR RADIUS ULNA RIGHT AP AND LATERAL,34333,0.06%,Procedure,SNOMED,446473001,Procedure
1926189,Positron emission tomography (PET) imaging; whole body,2212055,IMG3408,OSF PET WHOLE BODY IMAGING,34185,0.06%,Procedure,CPT4,78813,CPT4
3533187,"Ultrasound, pelvic (nonobstetric), real time with image documentation; limited or follow-up (eg, for follicles)",2211768,IMG3475,US NON-OB TRANSVAGINAL AND LIMITED TRANSPELVIC (BH YH YHC LM WH),33926,0.06%,Procedure,CPT4,76857,CPT4
3347155,No matching concept,0,DIET125,DIET RENAL NON DIALYSIS,33914,0.06%,Metadata,None,No matching concept,Undefined
9311476,"Computed tomography, abdomen; with contrast material(s)",2211511,IMG237,CT ABDOMEN W IV CONTRAST,33893,0.06%,Procedure,CPT4,74160,CPT4
7079827,Bone marrow aspiration procedure,4174208,LAB673,BONE MARROW SMEAR  ASPIRATION  AND STAIN      (L YH),33691,0.06%,Procedure,SNOMED,49401003,Procedure
3045204,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, without contrast material, followed by contrast material(s) and further sequences; thoracic",2211417,IMG286,MRI THORACIC SPINE W WO IV CONTRAST,33585,0.06%,Procedure,CPT4,72157,CPT4
7489958,No matching concept,0,LAB9021,CSF CELL COUNT WITH DIFF,33579,0.06%,Metadata,None,No matching concept,Undefined
8848588,No matching concept,0,NUR579,M  BEVACIZUMAB TREATMENT CONDITION,33456,0.06%,Metadata,None,No matching concept,Undefined
2705527,No matching concept,0,REF72,AMB REFERRAL TO PEDIATRIC ENT,33348,0.06%,Metadata,None,No matching concept,Undefined
1516015,No matching concept,0,CON39,IP CONSULT TO UROLOGY,33195,0.06%,Metadata,None,No matching concept,Undefined
9688499,Chromosome analysis,4229610,LAB10403,CHROMOSOME ANALYSIS (CYTOGENETICS) (YMG),33054,0.06%,Procedure,SNOMED,88960003,Procedure
8356108,No matching concept,0,LAB8675,FLOW CYTOMETRY - LEUKEMIA LYMPHOMA NEOPLASIA  BONE MARROW     (GH YH),33048,0.06%,Metadata,None,No matching concept,Undefined
2846641,No matching concept,0,LAB3801,BABESIA SMEAR (BH GH LMW YH),33019,0.06%,Metadata,None,No matching concept,Undefined
7452221,X-ray of left knee,4143841,IMG132,XR KNEE LEFT AP LATERAL AXIAL AND TUNNEL,33013,0.06%,Procedure,SNOMED,427019001,Procedure
4357624,No matching concept,0,RT33,PULSE OXIMETRY  CONTINUOUS,32811,0.06%,Metadata,None,No matching concept,Undefined
2354432,"Radiologic examination, knee; 3 views",2211481,IMG1529,XR KNEE BILATERAL AP LATERAL AND AXIAL (GH BH YH YHC LM),32641,0.06%,Procedure,CPT4,73562,CPT4
7525302,No matching concept,0,CON279,IP CONSULT TO GERIATRIC MEDICINE,32587,0.06%,Metadata,None,No matching concept,Undefined
3824651,No matching concept,0,OPH1026,CIRRUS OCT OPTIC DISC CUBE 200X200 - OU - BOTH EYES,32381,0.06%,Metadata,None,No matching concept,Undefined
2578839,Ultrasonography of appendix,46271923,IMG1078,US APPENDIX(GH YH BH LM WH),32379,0.06%,Procedure,SNOMED,710197007,Procedure
8353016,Hyperbaric oxygen therapy,4087611,PRO407,HYPERBARIC OXYGEN TREATMENT,32340,0.06%,Procedure,SNOMED,18678000,Procedure
8388673,Transcatheter therapy,4215896,IMG3015,IR TRANSCATHETER THERAPIES,32279,0.06%,Procedure,SNOMED,81188004,Procedure
8743333,No matching concept,0,NUR25,BED REST WITH BATHROOM PRIVILEGES,32257,0.06%,Metadata,None,No matching concept,Undefined
1274755,No matching concept,0,DIET36,DIET LOW FIBER,32247,0.06%,Metadata,None,No matching concept,Undefined
4786654,No matching concept,0,ADT33,ZZZRETIREDREFER TO OBSERVATION (OB TRIAGE),32213,0.06%,Metadata,None,No matching concept,Undefined
2034407,No matching concept,0,LAB3667,ZZZCYTOLOGY NONGYN CASES     (GH),32164,0.06%,Metadata,None,No matching concept,Undefined
2329412,Suction of patient,4240218,NUR366,SUCTION,32119,0.06%,Procedure,SNOMED,58058006,Procedure
9480965,No matching concept,0,ADT36,ZZZRETIREDYNH ED ADMIT TO PEDIATRIC INPATIENT,31976,0.06%,Metadata,None,No matching concept,Undefined
9311735,Electroconvulsive therapy (includes necessary monitoring),2213552,BHS12,ELECTROCONVULSIVE THERAPY,31882,0.06%,Procedure,CPT4,90870,CPT4
2726565,"Computed tomographic angiography, abdomen and pelvis, with contrast material(s), including noncontrast images, if performed, and image postprocessing",42742548,IMG2863,CTA CHEST  ABDOMEN AND PELVIS,31783,0.06%,Procedure,CPT4,74174,CPT4
7304307,Plain X-ray of left elbow,37207149,IMG90,XR ELBOW LEFT AP AND LATERAL,31666,0.06%,Procedure,SNOMED,3521000087106,Procedure
5900419,No matching concept,0,LAB8099,ANTIBODY IDENTIFICATION PANEL     (YH),31371,0.06%,Metadata,None,No matching concept,Undefined
5292687,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, after first trimester (> or = 14 weeks 0 days), transabdominal approach; single or first gestation",2211749,IMG4811,US MFM PREG >14 WKS DETAIL WITH TRANSVAGINAL SINGLE (YH LM),31338,0.06%,Procedure,CPT4,76805,CPT4
5625745,Nerve conduction study,4198105,NEU5,EMG NERVE CONDUCTION STUDY (BH ONLY),31263,0.06%,Procedure,SNOMED,51110005,Procedure
6863981,"","","","",31011,0.06%,"","","",""
3166765,No matching concept,0,SRCDR1,SRC SPECIAL DIET REQUEST,30840,0.06%,Metadata,None,No matching concept,Undefined
7477433,No matching concept,0,REF174,AMB REFERRAL TO CARDIAC REHABILITATION,30806,0.06%,Metadata,None,No matching concept,Undefined
8168782,No matching concept,0,PFT48,PULMONARY FUNCTION TEST (GH ONLY),30794,0.06%,Metadata,None,No matching concept,Undefined
8663842,No matching concept,0,REF73,AMB REFERRAL TO PEDIATRIC GASTROENTEROLOGY,30722,0.06%,Metadata,None,No matching concept,Undefined
7411404,No matching concept,0,CON4,IP CONSULT TO GENERAL SURGERY,30639,0.06%,Metadata,None,No matching concept,Undefined
4950955,No matching concept,0,LAB10033,VAGINOSIS & VAGINITIS PANEL BY NAAT (BH GH LMW YH),30615,0.06%,Metadata,None,No matching concept,Undefined
3065184,No matching concept,0,SUP6520,SUPPLY ORDER- NEOPS,30584,0.06%,Metadata,None,No matching concept,Undefined
3750207,"Duplex scan of arterial inflow and venous outflow of abdominal, pelvic, scrotal contents and/or retroperitoneal organs; complete study",2313992,IMG1219,US DUPLEX ABDOMEN PELVIS VASC STUDY COMPLETE,30577,0.06%,Procedure,CPT4,93975,CPT4
8506049,"Radiologic examination, ribs, unilateral; including posteroanterior chest, minimum of 3 views",2211373,IMG48,XR RIBS LEFT W PA CHEST,30475,0.05%,Procedure,CPT4,71101,CPT4
4417101,No matching concept,0,REF101,AMB REFERRAL TO SPEECH THERAPY,30170,0.05%,Metadata,None,No matching concept,Undefined
9643039,"Ultrasound, abdominal, real time with image documentation; limited (eg, single organ, quadrant, follow-up)",2211741,IMG1079,US GALLBLADDER (BH YH YHC WH),30135,0.05%,Procedure,CPT4,76705,CPT4
2428510,No matching concept,0,NUR579,W  LABS NEEDED TODAY 2,30133,0.05%,Metadata,None,No matching concept,Undefined
1454940,"Ultrasound, soft tissues of head and neck (eg, thyroid, parathyroid, parotid), real time with image documentation",2211737,IMG1071,US NECK,30052,0.05%,Procedure,CPT4,76536,CPT4
5445736,No matching concept,0,NUR579,NN  MONITORING FOR NEUROPATHY,30050,0.05%,Metadata,None,No matching concept,Undefined
1643951,No matching concept,0,LAB238,VRE CULTURE,30024,0.05%,Metadata,None,No matching concept,Undefined
4862466,Patient status observation,4304206,ADT113,ZZZRETIREDYNH ED TO OBS STATUS- MEDICAL SERVICE,29855,0.05%,Procedure,SNOMED,103705002,Procedure
2835015,No matching concept,0,NUR579,TREATMENT CONDITIONS I,29788,0.05%,Metadata,None,No matching concept,Undefined
5952267,Cytology of organ NOC,44803155,LAB3676,CYTOLOGY     (GH),29747,0.05%,Procedure,SNOMED,637741000000103,Procedure
3298254,No matching concept,0,LAB3806,BD AFFIRM BACTERIAL VAGINITIS      (GH),29483,0.05%,Metadata,None,No matching concept,Undefined
1216961,Assessment using alcohol withdrawal scale,40484296,NUR1191,CIWA-A ALCOHOL WITHDRAWAL SCALE,29436,0.05%,Procedure,SNOMED,445628007,Procedure
2633419,"CT of chest, abdomen and pelvis",3570831,IMG3312,OSF CT CHEST ABDOMEN PELVIS,29425,0.05%,Procedure,SNOMED,183981000000106,Procedure
1168925,No matching concept,0,ADT115,ZZZRETIREDYNH ED ADMIT NON-MEDICAL SERVICE,29415,0.05%,Metadata,None,No matching concept,Undefined
7982630,Pregnancy test (beta human chorionic gonadotropin),44789311,LAB8841,HCG  WHOLE BLOOD BETA (POC)  (BH YH),29381,0.05%,Procedure,SNOMED,195311000000100,Procedure
5119133,No matching concept,0,LAB7505,SUREPATH IMAGING PAP AND HPV MRNA E6 E7 RFL GENOTYPES 16 18 45 (Q),29341,0.05%,Metadata,None,No matching concept,Undefined
1086737,No matching concept,0,WOU9,DRESSING CHANGE WITH MEDICATION,29334,0.05%,Metadata,None,No matching concept,Undefined
2425338,No matching concept,0,LAB10064,C. TRACHOMATIS   N. GONORRHOEAE    T. VAGINALIS  NAAT,29229,0.05%,Metadata,None,No matching concept,Undefined
7017266,No matching concept,0,LAB6211,ZZZSURESWAB  VAGINOSIS VAGINITIS PLUS     (Q),29154,0.05%,Metadata,None,No matching concept,Undefined
6757956,Central venous cannula insertion,4052413,PRO85,CENTRAL LINE,29136,0.05%,Procedure,SNOMED,233527006,Procedure
9611826,No matching concept,0,LAB2968,FECAL OCCULT BLOOD     (YH),29125,0.05%,Metadata,None,No matching concept,Undefined
8104170,"Esophagoscopy, flexible, transoral; with endoscopic ultrasound examination",2108880,GI43,UPPER ENDOSCOPIC ULTRASOUND (IMAGES),29067,0.05%,Procedure,CPT4,43231,CPT4
6169000,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, after first trimester (> or = 14 weeks 0 days), transabdominal approach; single or first gestation",2211749,IMG532,US OB 14 + WEEKS SINGLE OR FIRST GESTATION,29039,0.05%,Procedure,CPT4,76805,CPT4
5787776,No matching concept,0,PHA34,A  RESTRICTED NON-FORMULARY MEDICATION REQUEST,29004,0.05%,Metadata,None,No matching concept,Undefined
9239654,No matching concept,0,EP100,EP IMPLANT EXPLANT,28853,0.05%,Metadata,None,No matching concept,Undefined
7501992,"CT of thorax, abdomen and pelvis with contrast",4200610,IMG4888,CT ED CHEST ABDOMEN PELVIS W IV CONTRAST,28841,0.05%,Procedure,SNOMED,433761009,Procedure
8320969,No matching concept,0,LAB236,STREP A CULTURE  THROAT      (L Q),28789,0.05%,Metadata,None,No matching concept,Undefined
3663987,"Ultrasound, pregnant uterus, real time with image documentation, transvaginal",2211757,IMG2968,US MFM OB TRANSVAGINAL (PERI ONLY)(GH YH BH NE LM),28737,0.05%,Procedure,CPT4,76817,CPT4
2840673,Plain X-ray of bilateral hands,37207199,IMG1318,XR HAND BILATERAL PA LATERAL AND OBLIQUE (GH BH YH YHC LM),28737,0.05%,Procedure,SNOMED,4041000087108,Procedure
6049302,No matching concept,0,RT196,HIGH FLOW NASAL CANNULA- TITRATE (ADULT),28707,0.05%,Metadata,None,No matching concept,Undefined
5728737,No matching concept,0,LAB186,GLUCOSE  BODY FLUID     (BH GH L LMW YH),28676,0.05%,Metadata,None,No matching concept,Undefined
2978237,No matching concept,0,LAB3442,RESPIRATORY VIRUS DFA  NASOPHARYNX     (YH),28664,0.05%,Metadata,None,No matching concept,Undefined
1297884,"Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material, followed by contrast material(s) and further sequences",2211353,IMG1256,MRI PITUITARY W WO IV CONTRAST,28519,0.05%,Procedure,CPT4,70553,CPT4
8714731,"","","","",28386,0.05%,"","","",""
2183231,No matching concept,0,NUR480,POST PROCEDURE SITE ASSESSMENT,28367,0.05%,Metadata,None,No matching concept,Undefined
6053112,No matching concept,0,LAB188,LACTATE DEHYDROGENASE  BODY FLUID     (BH GH L LMW YH),28364,0.05%,Metadata,None,No matching concept,Undefined
1963901,"Ultrasound, pregnant uterus, real time with image documentation, fetal and maternal evaluation, first trimester (< 14 weeks 0 days), transabdominal approach; single or first gestation",2211747,IMG530,US OB < 14 WEEKS SINGLE OR FIRST GESTATION(GH YH YHC LM WH),28346,0.05%,Procedure,CPT4,76801,CPT4
1063762,No matching concept,0,NUR579,N  CARBOPLATIN AUC DOSING CONDITIONS,28328,0.05%,Metadata,None,No matching concept,Undefined
2582285,CT of head and neck with contrast,40489427,IMG4786,CTA HEAD AND NECK (STROKE CODE),28260,0.05%,Procedure,SNOMED,448335009,Procedure
4719145,Maintenance of thoracic drain,4210049,NUR1110,CHEST TUBE CARE,28256,0.05%,Procedure,SNOMED,55628002,Procedure
8143584,No matching concept,0,NUR335,ENEMA-TAP WATER,28224,0.05%,Metadata,None,No matching concept,Undefined
6810082,No matching concept,0,OPH1058,HS RNFL GLAUCOMA OU,28033,0.05%,Metadata,None,No matching concept,Undefined
3377630,"","",IMM312,COVID-19  MODERNA  12YR + UP  50 MCG 0.5 ML,27942,0.05%,"","","",""
1906532,No matching concept,0,LAB8051,PREPARE PLASMA,27875,0.05%,Metadata,None,No matching concept,Undefined
6080759,No matching concept,0,REF67,AMB REFERRAL TO PEDIATRIC CARDIOLOGY,27843,0.05%,Metadata,None,No matching concept,Undefined
8990018,"Radiologic examination, hand; 2 views",2211458,IMG3945,XR HAND BILATERAL PA AND OBLIQUE (BH YH YHC LM),27822,0.05%,Procedure,CPT4,73120,CPT4
1092044,"Radiologic examination, spine, cervical; 4 or 5 views",2211389,IMG3652,XR C-SPINE AP LAT FLEX AND EXT,27807,0.05%,Procedure,CPT4,72050,CPT4
8834495,No matching concept,0,NUR611,APPLY COOLING BLANKET,27777,0.05%,Metadata,None,No matching concept,Undefined
6686920,"Computed tomographic angiography, head, with contrast material(s), including noncontrast images, if performed, and image postprocessing",2211339,IMG786,CTA HEAD,27764,0.05%,Procedure,CPT4,70496,CPT4
