care_site_id,Department
658,APPLE REHAB - CENTRALIZED ADMISSIONS
19793,YNH WP 8 MATERNITY
800,QUALIDIGM
19097,ESSEX INTERNAL MEDICINE
26384,BH US PAMC OR
45453,OPTHC CHIRO STRATFORD
40602,YM SURGERY VASCULAR TRUMBULL
1815,BH PRIMARY CARE DERMATOLOGY
32079,INTERNAL MEDICINE & FAMILY PRACTICE
43260,BH ARUP
30147,YNH RHEUMATOLOGY MILFORD
30780,NE MC GERIATRICS
731,YNH BH CHILDREN BH NEWBORN ICU
36995,YNH SMILOW LIVER CANCER CLINIC NH
17893,INTERIM HEALTHCARE OF EASTERN CT
21720,LMH PEQUOT PERIOP SERVICES
448,BH PLASTIC SURGERY SERVICE
2253,YM SURGERY SPEECH AND SWALLOW CTR
2604,NE PSYCHIATRY - BRIDGEPORT
24061,YNH GI SURGERY YPB 3
26306,YNH GASTROENTEROLOGY SURGERY SERVICE
2428,YM COUNTY OB BRANFORD
27139,YNH SHORELINE SURGERY PERIOP SVCS
45437,CENTRAL SCHEDULING - PEDI ALLERGY/IMMUNOLOGY
996,YNH NP 10 MICU SD
1261,YNH ADULT DENTAL - NEW HAVEN
4240,YNH PEDI OLD SAYBROOK NUTRITION
30439,MC MAIN LAB
1047,YNH PERIOP SVCS WP
2052,GH 75 HOLLY HILL XRAY
24065,YNH SMILOW TUMOR BOARD
37837,YM UROGYN NEW LONDON
1780,BH ONE STOP XRAY
1848,BH NUTRITION SERVICES - TRUMBULL
4016,YNH MH INPATIENT PHARMACY
42383,GH SMILOW BREAST SURGERY LRR
31653,YM PEDI FAMILY ADVOC GREENWICH
2108,YM OBGYN GENERAL CTICU
24643,LMH CANCER CENTER ANTI COAG CLINIC
1387,YNH SMILOW NH - B
2503,NE PULMONARY HAMDEN
878,BH PALLIATIVE CARE
2381,YM CSC IN HOME IICAPS
21604,YNH PEDI UROLOGY PARK AVE
3835,NE PODIATRY ORCHARD
29325,NE CARDIOVASCULAR SERVICES RYEBROOK
31112,YM SURGERY BREAST WATERFORD
4172,SI-HOI LAM
41308,OPTHC BH CHAPEL SBHC
44973,NE OBGYN RYE BROOK US
21912,YNH TXP INT MED OLD SAYBROOK
41793,MC ALLERGY IMM MILFORD
31307,MC SURGERY SERVICE
1289,YNH CARDIOTHORACIC SURGERY
21524,WH CARDIAC REHAB
4289,MYSTIC HEALTHCARE
18877,BH HEPATOLOGY PARK AVE
893,MIDDLESEX MULTI-SPECIALTY GROUP
1327,YNH PEDI ENDO
2142,YMG CSC ACADEMIC SKILLS MADISON
3862,NE PEDIATRIC NEONATOLOGY
39808,NE ORTHO SURG NEW HAVEN
40372,CSHH INFECTIOUS DISEASE 410 W HAVEN
43793,ZZYNH 500 W PUTNAM PEDI HEM ONC COAG
981,YNH EP 77 SURGERY
1796,BH NUTRITION SERVICES - FAIRFIELD
2111,YM OBGYN REPRO NEW HAVEN
21404,WH INPATIENT PHARMACY
41349,OPTHC DENTAL FAIRCHILD SBHC
1630,SRC DERMATOLOGY
2150,YMG PRENATAL OFFICE
22739,CONNECTICUT HAND CENTER - WESTERLY
30447,MC DIAGNOSTIC IMAGING
17996,LMMG OBGYN WESTERLY
626,YM SURGERY TRANSPLANT
3439,YNH PEDI TRUMBULL ECHO
21607,LMH MINOR TREATMENT UNIT
43447,BH PSYCHIATRY BRIDGE TO CARE
21432,LMH 4.4 MATERNITY
37855,YHC YSM TESTING
755,DANBURY HELATH CARE CENTER
1736,BH LAB SPECIMENS
2608,NE GI PRIMARY CARE CLINIC
41379,OPTHC DENTAL HARDING SBHC
38377,SNF MASS TESTING - SPRING AT WATERMARK 3030
30451,MC ULTRASOUND
811,CONSTELLATION HOME CARE
3904,NE GH VALLEY DRIVE LAFAYETTE ONCOLOGY CENTER
4173,YNH HVC OP MAIN BRANFORD
29716,LARCHMONT FAMILY MEDICINE
2117,YM DERMATOLOGY MIDDLEBURY
682,YM SOUND
40288,YM UROLOGY STAMFORD
45488,YNH EP 48 MEDICINE OVERFLOW
2548,NE SR WOUND CARE
4004,YM ST CT WOMENS HEALTHCARE
17982,ESSEX MEADOWS
39426,YNH PEDI SOCIAL WORK TRUMBULL
41258,OPTHC CHIRO WASHINGTON
2539,NE SR HAELEN
29992,CSHH MEDICAL HILL CENTRAL SBHC
4122,LAB FOR BRIDGEPORT HOSPITAL
18055,KINDRED AT HOME - HAMDEN
1125,YNH PEDI LW EPILEPSY PROGRAM
24469,NE POD TRUMBULL PARK AVE
40111,REMOTE PATIENT VITALS
1144,YNH BRANFORD CARDIAC SERVICES
2272,YMG MEDICAL ONCOLOGY
3462,YNH NEUROSURGERY NORTH HAVEN FLR2
4287,CHESHIRE HOUSE
927,LORD CHAMBERLAIN
1229,YNH NEW HAVEN BONE DENS
31652,YM NEUROLOGY MOVEMENT TEMPLE
855,YNH WALLINGFORD DRAW STATION
528,YNH COPATH SURGICAL PATHOLOGY COST CENTER DEPARTMENT
1857,BH PK CITY OB/GYN PRIM CARE
29107,ZZYNH PEDI NUTRITION 500 W PUTNAM
30006,CSHH METHADONE MAINTENANCE SCRC
18682,KINDRED AT HOME - FARMINGTON
1341,YNH SMILOW GYN ONCOLOGY
1378,YNH PEDI GUILFORD GI
992,YNH WP 4 LABOR & DELIVERY
1079,YNH DR WP PEDI XRAY
40322,YHC WEST CAMPUS
21450,LMH BREAST IMAGING
21347,YNH SMILOW LIVER CANCER CLINIC
950,INTERNAL MEDICINE AND INFECTIOUS DISEASE
1172,YNH MFM LONG WHARF PERINATOLOGY
21895,LMH FAIRE HARBOUR REHAB SERVICES
24208,NE LMH WOUND
24773,GH NUTRITIONAL LRR STAMFORD
29988,CSHH MEDICAL WILMOT
3896,ONCOLOGY HEMATOLOGY CARE OF CT
942,PEDIATRIC CARE ASSOCIATES
1468,YNH HVC OP WESTBROOK
2571,NE BH BREAST
38591,GH FLU FAIR CLINIC OCC HEALTH
1853,BH OUTPATIENT IMAGING PARK AVE ULTRASOUND
4163,YM COMMUNITY HEALTH OFFICE
24729,YNH WP 4 NNICU RESUSCITATION
31129,SRC REHAB SERVICES CHAPEL
1881,BH JUVEN DETENT CNTR LAB
1113,YNH PEDI LW RESPIRATORY
3471,GRIFFIN HOSPITAL
3478,NE YNH PEDIATRIC SPECIALISTS - HEN
41309,OPTHC PED JOHN F KENNEDY SBHC
43266,YM PEDI ENDOCRINOLOGY SHAWS COVE
45248,NORWICH ENDOCRINOLOGY LLC
775,APPLE REHAB OLD SAYBROOK
2104,YMG HEART FAILURE
21497,WH EEG
26355,NE INTERNAL MED RYE OSBORN
30618,YNH BARIATRIC SEMINAR NEW HAVEN
39651,LMH ANTIBODY INFUSION NEW LONDON
1248,YNH PCC ADULT AMBULATORY BLOCK
2757,YHC MENTAL HEALTH AND COUNSELING
1577,SRC CARDIAC CATH EP
42627,OPTHC ACU HOLLOW
1488,SRC CELENTANO 3
643,VISITING NURSE SERVICE OF CT
4184,YM PEDI ADULT CONG HEART ST FRANCIS
27783,FAIR HAVEN PRIDE PROGRAM 374 GRAND AVE
29247,YNH SMILOW PALLIATIVE NORTH HAVEN
39726,BH WCC5 OVERFLOW
3482,MCKESSON CORPORATION
3557,NE PM IM TRUMBULL SILVER LANE
21750,NE DERM WESTERLY WELLS ST
1457,YNH DRAW STATION CLINTON
3975,YNH PEDI ORTHO OLD SAYBROOK
29110,ZZYNH PEDI INFUSION CENTER 500 W PUTNAM
17895,WEST HAVEN PEDIATRICS
45119,BH OUTPATIENT PHARMACY
651,THE WILLOWS
1906,GH MEDICAL B
3968,YNH UROLOGY OLD SAYBROOK
42592,WH UROLOGY MDC
943,"UROLOGY GROUP, PC"
24853,ENDOCRINE ASSOC OF CT - NEW HAVEN BRANFORD
28884,BH TRUMBULL TECH DR DRAW STATION
38065,LMH MASS TESTING
44595,YALE NEW HAVEN URGENT CARE SOUTHBURY
21593,BH REACH PROGRAM YOUTH
12,Y YALE
1798,BH BREAST CENTER FAIRFIELD
27796,WOMEN'S HEALTH NORTH BRANFORD
38444,YM NEUROLOGY MOVEMENT GUILFORD
39201,NE PM IM RIVER RD SHELTON
21508,WH MED SURG 2
1927,GH GENETIC COUNSELING
3876,BRANHAVEN MEDICAL GROUP
43392,YNH SURGERY COLORECTAL WESTBROOK
23309,LMMG GEN SURG NEW LONDON MONTAUK
44002,GH PEDI NEPHROLOGY 500 W PUTNAM
1295,YNH PEDI METABOLIC LIVER DISEASE
1876,BH DIALYSIS CTR - BRIDGEPORT
38243,SNF MASS TESTING - BAYVIEW
772,AGENCY ON AGING OF SOUTH CENTRAL CT
1225,YNH OP/IOP/PHP SERVICES ADULT - NEW HAVEN
18708,LMMG BEH MED IOP
771,APPLE REHAB WEST HAVEN
18607,GH LRR ULTRASOUND
543,APPLE REHAB COLCHESTER
1265,YNH PCC PEDI ANCILLARY
1605,SRC PULMONARY SHERMAN
2092,YM PEDI FAMILY ADVOCACY NEW HAVEN
24145,YM PEDI GREENWICH NEPHROLOGY
29260,NE PM URO WESTPORT RIVERSIDE DR
1244,YNH PHOTOTHERAPY
30443,MC RESPIRATORY THERAPY
1621,SRC REHAB HAMDEN
4003,GH LAB OUTREACH QUEST UHC
44509,BH LAB CONSOLIDATED TESTING COST CENTER DEP
3413,DAVITA BRIDGEPORT
4047,CONNECTICUT GASTROENTROLOGY CONSULTANT PC
2221,YMG UROLOGY SERVICE
2424,YM CSC ANXIETY STAMFORD
1201,YNH FOXON BONE DENS
21399,LMH PHYSICAL THERAPY
29315,BH DRAW STATION WHITE PLAINS TRUMBULL
31642,YM ST CT WOMENS HEALTHCARE IMPERIAL
17974,FRANCISCAN HOME AND HOSPICE CARE
30629,YM UROLOGY HOME NURSING VISITS
4228,BH QUEST IMMUNOLOGY
3467,CARE COMMUNICATIONS
31346,WH SMILOW WESTERLY
39798,YNH ANTIBODY INFUSION ORANGE
24649,YNH SMILOW HEMATOLOGY NORTH HAVEN
1561,SRC DR BREAST IMAGING
542,APPLE REHAB COCOMO
42966,YNH PHARMACY NORTH HAVEN MEDICAL CENTER
43992,GH PEDI HEM/ONC 500 W PUTNAM
591,YM NEUROLOGY
906,BH COPATH CYTOLOGY
2013,GH PHYSIATRY - STAMFORD
2353,YM CC GENETIC COUNSELING GRIFFIN
31273,GH BEHAVIORAL HEALTH LRR STAMFORD
43987,GH PEDI ALLERGY/IMMUN 500 W PUTNAM
2729,MORGAN STANLEY CORPORATE HEALTH UNIT GH
19836,NEW ENGLAND ORTHOTIC AND PROSTHETIC SYSTEMS
24358,YNH TXP LIVING DONOR CENTER YPB3
1664,SRC REHAB BRANFORD
1686,BH MED/CORONARY CARE UNIT
31610,MC CARDIOLOGY SERVICE
1120,YNH PEDI DENTAL - NEW HAVEN
2054,GH OHS STRESS
27794,OB-GYN PHYSICIANS PC
41332,OPTHC RYAN WHITE CHASE
4309,SRC VERDI 3 WEST MED OVERFLOW
18942,SRC CELENTANO 5
24036,LMH PHYSICAL THERAPY HOSPICE
24706,NE SLEEP TRUMBULL PARK AVE
42763,YNH CH VASCULAR ACCESS
1320,YNH PEDI CARDIOTHORACIC SURGERY
1764,BH SURGEASE PACU
2115,YM ORTHO GUILFORD
2484,NE CARDIOLOGY
1421,YNH PEDI NORWALK GI
1614,SRC SURFSIDE APTS
18004,LMMG PRI CARE NEW LONDON
19989,YNH PEDI NEPHROLOGY TRANSPLANT
24371,YNH SP 74 MSCU NURSERY
1889,BH OUTPATIENT IMAGING FAIRFIELD XRAY
3864,YNHHS ID MONITORING
953,BRISTOL MYERS SQUIBB
1007,YNH YPH WASHINGTON SQ 3
44004,GH OBGYN GEN ADOLES 500 W PUTNAM
1030,YNH PICC SERVICES
1763,BH SURGEASE PRE OP
2187,YMG NEUROLOGY TEMPLE 6C
18637,AMEDISYS HOME HEALTH OF SHELTON
45467,YM ORTHO MILL HILL BRIDGEPORT
401,YNH PEDIATRICS SERVICE
26356,NE FM RYE BROOK
30344,BH PCC SPINE CENTER
30620,YNH BARIATRIC SEMINAR GUILFORD
3563,NE PM ENDO TRUMBULL QUARRY RD
18002,LMMG GEN SURG NEW LONDON
4097,HOME HEALTH SPECIALTY SERVICES
38519,YM CARDIOLOGY FRANKLIN WATERBURY
4094,LIGHTHOUSE HOME HEALTH CARE
24060,YNH SP 71 NEURO ICU
18655,CONNECTICUT HAND CENTER - NEW LONDON
28846,WH CARDIOVASCULAR
1724,BH PHYSICIAN OFFICE DRAW
40659,NE GEN SURG MYSTIC
1296,YNH ENDOCRINE ONCOLOGY
3900,YMG NEUROLOGY MOVEMENT DISORDER-GREENWICH
29709,YNH FITKIN MRI PREP HOLD
30630,YM LACTATION PROGRAM BRANFORD
39408,MOHEGAN SUN THAMES GARAGE TESTING SITE
1117,YNH PEDI LW NEUROLOGY
648,APPLE REHAB GUILFORD
2589,NE WOUND HEALING CENTER OF FAIRFIELD COUNTY
362,BH ANESTHESIA
2591,NE TRUMBULL MEDICAL PRACTICE
2592,NE INTERNAL MEDICINE - STRATFORD
38166,LMH 5.2 PSYCH
38062,BH MASS TESTING
723,YNH BH CHILDREN BH ORTHO/NEURO/URO-RICH 7
1961,GH OCCUPATIONAL THERAPY
22838,SOUTHEASTERN PULMONARY ASSOC
41350,OPTHC DENTAL LUIS M MARIN SBHC
559,WOLCOTT HALL NURSING CENTER
21772,NE BEHAVIORAL MED GROTON
695,YNH BH CHILDREN BH MRI
24097,NE PULM NORTH HAVEN 4A DEVINE
24898,YM OBGYN GENERAL ADOLES GREENWICH
30001,CSHH INFECTIOUS DISEASE DIXWELL
24263,YNH ORTHOPEDICS OLD SAYBROOK
44016,FAIR HAVEN SBHC PEDI MBA
1627,SRC PROJECT MOTHER CARE - ATWATER
1651,SRC DRAW STATION DIAGNOSTIC TESTING CTR
1657,SRC UROLOGY US
19705,ZZZWH PHYSICAL THERAPY
38437,YNH DR SPORTS MEDICINE 800 GUILFORD XRAY
1154,YNH SMILOW PHARMACY GUILFORD
2405,YM SURGERY VASCULAR GROTON
24641,YNH SMILOW ONCOLOGY CARE MANAGEMENT
42859,YM NEUROLOGY EMG NORTH HAVEN
43269,YM PEDI OBESITY SHAWS COVE
470,EXECUTIVE HEALTH RESOURCES
1176,YNH SARGENT DRIVE XRAY
1414,YNHCH BH PEDIATRIC PHARMACY
41071,PULMONARY CRITICAL WEST HAVEN
1496,SRC MED INTENSIVE - ACU
2482,NE ALLERGY HAMDEN
4002,QUINNIPIAC INTERNAL MEDICINE
31337,BH LANGUAGE SERVICES
38507,YHC YU FRANKLIN - MURRAY
1470,YNH CARDIOLOGY ASSOCIATES WEST HAVEN
1907,GH PEDIATRICS
2161,OOS YMG ALLERGY/IMMUNOLOGY
3966,YNH ALLERGY AND IMMUNOLOGY OLD SAYBROOK
29575,SRC DR XRAY OR
31526,YM SURGERY GENERAL TRAUMA GREENWICH
44,EMH HOSPITAL LAB
1357,YNH RADIATION ONCOLOGY NEW HAVEN
1486,YNH NEUROSURGERY
38588,YNH FCC PEDIATRIC CARDIOLOGY
42510,FAIR HAVEN SBHC BH JOHN SLINEY
30023,CSHH MEDICAL ROBERTO CLEMENTE SBHC
38628,NE PRACTICES: NEW HAVEN FLU FAIR CLINIC
905,BH COPATH SURGICAL PATHOLOGY
2471,NE GI OF NH - HAMDEN 3RD FLOOR
45745,FAIR HAVEN ADULT 374 BLD B GRAND AVE
2265,YMG SURGICAL ONCOLOGY
4312,UNICARE LLC
30450,MC NUCLEAR MEDICINE
1765,BH ENDOSCOPY
2521,NE SR PSYCH PHP/IOP HAMDEN
39312,VNA SOUTHEASTERN CT SALE OF SERVICE
1366,YNH SMILOW OSTOMY PROGRAM
2087,YMG PEDI LW RHEUMATOLOGY
1222,YNH TSC GI MOTILITY
1569,SRC PERINATOLOGY MFM US
2205,YM ORTHO PEDI CLINIC GREENWICH
960,YNH WP 10 NEWBORN NURSERY
2483,NE IM HAMDEN WASHINGTON AVE
23308,NE FM FISHERS ISLAND
919,GH SBO
1580,SRC CATH/EP HOLDING
3523,NE PULM GREENWICH
21510,WH MRI
32047,YNH NUTRITION CLINIC SCRANTON
1237,YNH PCC ADULT CONTINUITY CLINIC
41331,OPTHC OB/GYN PARK CITY
2767,YHC STUDENT HEALTH
1143,YNH DRAW STATION BRANFORD
24704,YM PM&R CMC NORTH HAVEN
3524,NE GEN SURG GREENWICH
3959,YNH ARUP
19216,ZZZWH ANTICOAGULATION CLINIC
39378,CSHH ENT WILMOT
43946,FCHC BH TURN OF RIVER MIDDLE SBHC
45404,CENTRAL SCHEDULING - UROLOGY
22839,SHORELINE NEPHROLOGY ASSOCIATES
31375,WH PSYCHIATRY SERVICE
36997,YNH SMILOW NEURO MEDICAL ONC NH
1701,BH WOMENS CARE CENTER 5
38099,YNH WHITING FORENSIC HOSPITAL
24160,SRC HVC PRE/POST RECOVERY
2298,YMG PEDI NEPHROLOGY
425,GH SURGERY SERVICE
4077,GH OCCUPATIONAL HEALTH SERVICES
31118,YM NEUROLOGY NEUROPSYCH MILFORD
2257,YM OBGYN FAM PLAN NH HOWARD AVE
1878,BH DIALYSIS LAB - SHELTON
26382,YNH SMILOW MELANOMA GUILFORD
872,YNH/YM IP SPEECH AND LANGUAGE PATHOLOGY
41064,STROKE NURSE NAVIGATOR
39975,NE ENDO UNCASVILLE
21629,WH REHAB SERVICES
42870,YNH HVC DISEASE MGMT GUILFORD
1401,YNH DRAW STATION SMILOW WATERBURY
1992,GH MATERNAL FETAL MEDICINE US
29295,YNH SMILOW PALLIATIVE WATERBURY
41274,OPTHC OB/GYN WASHINGTON
985,YNH EP 97 MEDICINE
3411,NE PULM GUILFORD
1832,BH REACH ADULT
1920,GH PEDIATRIC CLINIC
18017,LMMG CARDIO WATERFORD
18269,ATRINITY HOME HEALTH
43298,YNH EP 106 SURGERY
4129,LAB FOR GREENWICH HOSPITAL
4182,YNH PEDI LW SPASTICITY CLINIC
3459,YM CARDIAC SERVICES NORWICH
3958,YNH MAYO
21700,LMH INFECTION PREVENTION
38603,CSHH PODIATRY SARGENT DRIVE
547,ADVANCED NURSING & REHAB CENTER
601,YM PEDI IMMUNOLOGY/ALLERGY
1352,YNH SMILOW PEDIATRIC CLINIC
3397,METABOLISM ASSOCIATES - NORTH HAVEN
43800,YNH TRUMBULL PEDI HEM ONC SICKLE CELL
2352,YM CSC OUTPATIENT HAMDEN
29756,ZZYNH PEDI GENERAL SERV 500 W PUTNAM
4000,INTERNAL MEDICINE OF CLINTON
409,GH HYPERBARIC MEDICINE & WOUND HEALING SERVICE
2597,NE CARE COORDINATION
30003,CSHH PEDIATRICS DIXWELL
38454,YHC YU - DWIGHT HALL
39795,CSHH COVID VACCINE FAIR COLUMBUS
1912,GH MEDICAL/SURGICAL ICU
30021,CSHH MEDICAL DAVIS SBHC
38574,STRONG SCHOOL
3885,ALL POINTE CARE
38220,BH STATE MASS TESTING TENT
38592,LMH FLU FAIR CLINIC OCC HEALTH
1189,YNH EMG HAMDEN
24467,NE PURCHASE NY WALK IN
1308,YNH PEDI PAIN MANAGEMENT
2125,YMG PEDI BROOKFIELD
3356,MCKESSON
17985,THE SPRING AT THE WATERMARK 3030 PARK
30778,NE YNH NE PEDI PCC
2718,FAIR HAVEN RIVERSIDE ACADEMY
43955,FCHC BH WESTHILL HIGH SBHC
1400,YNH SMILOW PHARMACY WATERBURY
1424,YNH PEDI NORWALK CARDIOLOGY
44590,YALE NEW HAVEN URGENT CARE BRISTOL
3916,YNHHS REGULATORY REVIEW
4123,LAB FOR BRIDGEPORT HOSPITAL WOMENS CENTER
38189,YNH PROJECT ACCESS
2561,NE SR CASA OTONAL SENIOR CENTER
803,SRC PALLIATIVE CARE
29099,ZZYNH PEDI HEPATOLOGY 500 W PUTNAM
352,CHILD LIFE SERVICES
21691,LMH PALLIATIVE CARE
44362,YNH PEDI GENETICS 6 DEVINE
1091,YNH NUCMED CARDIOLOGY
1345,YNH SMILOW HEMA INFUSION
2620,NE PODIATRY BRIDGEPORT
4038,GRAND MEDICAL
4040,FAIR HAVEN FAMILY 50 GRAND AVE
41267,OPTHC BH PARK CITY
74,EMH SPEECH PATHOLOGY
2746,YHC CARDIOLOGY
2256,YM RBI DI NEUROSCIENCE
2664,NE PERINATALOGY SERVICES OF GREENWICH
457,GH PYXIS SUPPLY COST CENTER DEPARTMENT
42414,EXTERNAL REFERRAL SOURCE
1522,SRC OP/IOP/PHP SERVICES CHILD - NEW HAVEN
30002,CSHH MEDICAL DIXWELL
2070,GH QUEST WALLINGFORD
39803,NE COVID VACCINE FAIR GALES FERRY PEDI
764,VNA COMMUNITY HEALTH CARE
2233,YM NEUROLOGY STROKE CENTER
2731,PULMONARY CRITICAL NH
21479,LMH CANCER CENTER MED ONC
41343,OPTHC RYAN WHITE EAST MAIN
2599,NE PSYCHIATRY - SOUTHPORT
1584,SRC ADULT IOP PHP - HAMDEN
21777,NE FM OLD LYME
30018,CSHH PEDIATRICS WEST HAVEN
21710,LMH CENTRAL SCHEDULING
41019,YNH COMPREHENSIVE CARE HOWARD
2055,GH SMILOW CANCER GENETICS
2766,YHC DIAGNOSTIC IMAGING SCHEDULING
4204,CHILDRENS MEDICAL GROUP
41320,OPTHC DENTAL EAST MAIN
44363,YNH PEDI IMMUNOCOMPROMISED VACCINE CLINIC
25024,NE COLO SURG TRUMBULL
40085,YM NEPHROLOGY SHERMAN
1180,YNH INTERVENTIONAL PSYCH
1941,GH MEDICAL AMBULATORY
24117,NE ENDOCRINOLOGY BEACH RD FAIRFIELD
40188,CSHH COVID VACCINE EVENT WILSON LIBRARY
45157,FAIR HAVEN SBHC PEDI FAME
18943,NE MARINERS POINT
44351,YNH PEDI DEVINE BARIATRIC SURGERY
42918,NE DH TEACHING KITCHEN 8 DEV NOH
1285,YNH SPINE CENTER
1096,YNH HVC PREP HOLD
27732,YNH NEUROSURGERY NORTH HAVEN FLR1
39571,GH US ED PHYS
2629,NE BREAST SURG GREENWICH
4013,YNH MH PHYSICAL THERAPY
877,HENRY B HOFBAUER
1226,YNH HILLHOUSE HIGH SBHC
45383,CENTRAL SCHEDULING - UROLOGY
792,MOUNT SINAI REHAB HOSPITAL
39454,NE FAIRFIELD KINGS HIGHWAY XRAY
850,YNH COMPUTER OPERATIONS LABORATORY
597,YM ORTHO
987,YNH CHILD PSYCH INPATIENT UNIT
3979,YNH PEDI RHEUMATOLOGY OLD SAYBROOK
4017,YM SURGERY CARDIAC NORWICH
21521,WH PFT
392,YNH DERMATOLOGY SERVICE
2211,YMG YNHH PERINATAL GE CLINIC
1518,SRC MIDWIFERY PRIMARY CARE
2002,GH DRAW STATION DARIEN LAB
2611,NE NEONATOLOGY
31644,DR HARVEY BLUESTEIN POST RD
43795,YNH OLD SAYBROOK PEDI HEM ONC COAG
777,CLINIC VIEW ONLY ACCESS
2536,NE SR INFECTIOUS DISEASE WOUND
42515,YNH PEDI TYPE 2 DIABETES LONG WHARF
1925,GH SURGICAL B - ORTHOPEDICS
43819,GH OUTPATIENT CENTER 75 HOLLY HILL
32031,YNH HOME DRAW
1360,YNH SMILOW THORACIC ONCOLOGY
31454,YNH SP 73 BMT
2436,YM OB GEN NEW HAVEN
31537,BH SPECIAL CARE MATERNITY WT5
1782,BH BREAST CENTER
1084,YNH/SRC BEDSIDE IMAGING
1432,YNH PEDI NORWALK SURGERY
2756,YHC INTERNAL MEDICINE
3508,YNH SMILOW PHASE I
414,GH NEUROLOGY SERVICE
42311,OPTHC NUTR STRATFORD
29124,NE WALK IN NEW LONDON
29958,CSHH PHARMACY 428 COLUMBUS
30383,LMH DRAW STATION NORWICH
38245,SNF MASS TESTING - NEW LONDON
3546,NE PM IM BRIDGEPORT
1106,YNH PEDI LW IMMUNO/ALLERGY
43953,FCHC BH DOLAN MIDDLE SBHC
1505,SRC SR LOUISE ANTHONY 5
1551,SRC GI LAB
1950,GH DIABETES PSYCH
1544,SRC DRAW STATION GRIMES
2666,NE GREENWICH INTERNAL MEDICINE
3902,YNH MH 2W INPATIENT REHAB
42857,HARTFORD HEALTHCARE
873,SRC PEDIATRIC SERVICE
3381,NE BH OBGYN PA
38416,BROAD INSTITUTE OF MIT AND HARVARD
21403,LMH INPATIENT PHARMACY
24948,NE OBGYN NEW ROCHELLE US
30037,CSHH BH CHURCH ST SBHC
29971,CSHH UROLOGY 428 COLUMBUS
2083,YMG PEDI LW METABOLIC BONE CLINIC
40139,SHORELINE GUILFORD ENDOSCOPY
969,YNH SP 51 CARDIAC ICU HVC
41351,OPTHC PED MSP
18012,LMMG PRI CARE GROTON
1247,YNH PHOTOPHERESIS SERVICE
18599,YNH SMILOW PHASE I INFUSION 55 PARK
1428,YNH PEDI NORWALK UROLOGY
44572,YM DIGESTIVE DISEASE MILFORD
1812,BH PRIMARY CARE OB/GYN
781,REGALCARE OF WATERBURY
2631,NE HEMATOLOGY ONCOLOGY ASSOCIATES OF GH
17987,YNH PEDI LEAD CLINIC
2024,GH WESTPORT DRAW STATION
41437,OPTHC WIC
1993,GH FILE ROOM
38601,CSHH BH ADULT SARGENT DRIVE
39630,NE EXTENDED CARE YPB
43858,DIGESTIVE DISEASE ASSOC 1224 MAIN BRANFORD
1217,YNH TSC TEMPLE PACU
2570,NE BH PULMONARY AND SLEEP
43052,WH MAYO
29327,A PLACE TO NOURISH YOUR HEALTH
30547,MC FILE ROOM
41795,ZADIE KENKARE INTERNAL MEDICINE
1671,SRC DRAW STATION AMITY PATIENT SERVICE CTR
1711,BH DIABETES EDUC PROGRAM
21467,LMH PSY IOP
29318,YM NEUROLOGY MS NEW LONDON
510,YNH CLINICAL HEMATOLOGY COST CENTER DEPARTMENT
41385,OPTHC OB/GYN EAST MAIN
18887,YNH PEDI CSC WP2
41096,NE POPULATION HEALTH
45410,CENTRAL SCHEDULING - NEUROLOGY
2406,YM SURGERY BARIATRICS NEW HAVEN
25046,YNHHS TELE ICU BUNKER
45080,YM ORTHO DME MILFORD 849 BPR
35540,BH EAST TOWER 6 OVERFLOW
2156,YM OB GEN GUILFORD CHURCH
2232,YM NEUROLOGY NEW HAVEN HOWARD AVE
26618,YNH LACTATION PROGRAM
43465,NE NEURO EMG WESTERLY
3392,YM SURGERY PEDI GREENWICH
2068,GH LAB DIAG ENDOSCOPY STAMFORD
19828,NE IM SOUTHPORT
40599,YNH COVID VACCINE FAIR SCRANTON
3587,YNH UROLOGY ORANGE
27744,YM NEUROSURGERY ST FRANCIS
31120,NE OBGYN GREENWICH
38510,YHC YU JONATHAN EDWARDS
793,FOX HILL CENTER
18038,BH OUTPATIENT IMAGING PARK AVENUE MRI
982,YNH WP 7 PRCU & NEURO
566,YNH PAREX HVC CARDIAC LABS COST CENTER DEPARTMENT
1697,BH WEST TOWER 5 NURSERY
18598,ANTHEM
1107,YNH PEDI LW UROLOGY
44500,OPTHC NUTR 975 WELLNESS CENTER
444,BH OTOLARYNGOLOGY SERVICE
29108,ZZYNH PEDI NEUROSURGERY 500 W PUTNAM
41310,OPTHC IM WASHINGTON
2488,NE PEDS GALES FERRY
3491,YM PEDI DIABETES RESEARCH
39384,CSHH PODIATRY WILMOT
1155,YNH DRAW STATION SMILOW GUILFORD
42410,NOVO WOMEN'S HEALTH FAIRFIELD
31488,YM GH UROLOGY LAKE AVE
37894,GH PAIN MANAGEMENT HOLLY HILL
1477,YNH UROLOGY HAMDEN
41451,CSHH INFECTIOUS DISEASE DIXWELL Q HOUSE
442,BH OPHTHALMOLOGY SERVICE
24946,NE FM TRUMBULL PARK AVE
44600,YALE NEW HAVEN URGENT CARE NORWALK
2583,NE GEN SURG FAIRFIELD BEACH RD
41805,YNH HVC OLD SAYBROOK CARDIAC SERVICES
628,YM UROLOGY
3448,YNH NORWALK PEDI OPHTHALMOLOGY
30032,CSHH TRANSITION STATE ST
