procedure_id,concept_name,concept_id,code,procedure_code,procedure_description,frequency,percentage,domain_id,vocabulary_id,concept_code,concept_class_id
3644169,Hearing aid examination and selection; monaural,2313753,CPT4,92590,"PR HEARING AID EXAM, ONE EAR",633,0.0%,Procedure,CPT4,92590,CPT4
5030851,Chemodenervation of trunk muscle(s); 1-5 muscle(s),44816435,CPT4,64646,PR CHEMODENERVATION OF TRUNK MUSCLE 1-5 MUSCLES,632,0.0%,Procedure,CPT4,64646,CPT4
5822985,"Excision, tumor or vascular malformation, soft tissue of hand or finger, subcutaneous; less than 1.5 cm",2104401,CPT4,26115,PR EXC TUM/VASC MAL SFT TISS HAND/FNGR SUBQ <1.5CM,628,0.0%,Procedure,CPT4,26115,CPT4
9968052,"Coronary artery bypass, using venous graft(s) and arterial graft(s); 2 venous grafts (List separately in addition to code for primary procedure)",2107223,CPT4,33518,"PR CABG, ARTERY-VEIN, TWO",628,0.0%,Procedure,CPT4,33518,CPT4
5090668,"Radiologic examination, sinuses, paranasal, less than 3 views",2211306,CPT4,70210,CHG X-RAY SINUSES <3 VW,628,0.0%,Procedure,CPT4,70210,CPT4
5591882,"Venography, caval, inferior, with serialography, radiological supervision and interpretation",2211618,CPT4,75825,PR VENOGRAM INFER VENA CAVA,628,0.0%,Procedure,CPT4,75825,CPT4
7047218,"Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A detailed history; A detailed examination; Medical decision making of low complexity. Counseling and/or coordination of care with",2414392,CPT4,99203,HC VISIT CLINIC NEW LVL III,626,0.0%,Procedure,CPT4,99203,CPT4
9960655,"Oscillating tracking test, with recording",2313718,CPT4,92545,PR OSCILLATING TRACKING TEST,625,0.0%,Procedure,CPT4,92545,CPT4
3823463,Anesthesia for procedures on major vessels of neck; not otherwise specified,2100756,CPT4,00350,"PR ANESTH,NECK VESSEL SURGERY NOS",625,0.0%,Procedure,CPT4,00350,CPT4
2251962,"Excision, other benign lesion including margins, except skin tag (unless listed elsewhere), face, ears, eyelids, nose, lips, mucous membrane; excised diameter 2.1 to 3.0 cm",2101989,CPT4,11443,"PR EXC SKIN BENIG 2.1-3CM FACE,FACIAL",625,0.0%,Procedure,CPT4,11443,CPT4
4722107,"Control nasal hemorrhage, posterior, with posterior nasal packs and/or cautery, any method; subsequent",2106309,CPT4,30906,PR REPEAT CONTROL OF NOSEBLEED,624,0.0%,Procedure,CPT4,30906,CPT4
6161749,Surgical treatment of anal fistula (fistulectomy/fistulotomy); subcutaneous,2109252,CPT4,46270,"PR REMOVAL ANAL FISTULA,SUBCUTANEOUS",623,0.0%,Procedure,CPT4,46270,CPT4
8900072,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with atherectomy, includes angioplasty within the same vessel, when performed",40756872,CPT4,37225,PR REVSC OPN/PRQ FEM/POP W/ATHRC/ANGIOP SM VSL,623,0.0%,Procedure,CPT4,37225,CPT4
7987196,"Repair of brow ptosis (supraciliary, mid-forehead or coronal approach)",2111110,CPT4,67900,PR REPAIR BROW PTOSIS,622,0.0%,Procedure,CPT4,67900,CPT4
5295908,"","",CPT4,3051F,PR MOST RECENT HG A1C>EQUAL TO 7.0%&<8.0%,620,0.0%,"","","",""
2676823,"","",CPT4,0111A,PR MODERNA IMMUN ADMIN IM INJ 1ST DOSE MRNA 6 MO - 5 YR,620,0.0%,"","","",""
6122164,"Unlisted procedure, larynx",2106551,CPT4,31599,PR LARYNX SURG PROC UNLISTED,620,0.0%,Procedure,CPT4,31599,CPT4
4260432,Transluminal dilation of aqueous outflow canal; without retention of device or stent,40757003,CPT4,66174,"PR TRANSLUMINAL DILATION AQUEOUS CANAL, EG CANALOPLASTY W/O RETENTION DEVICE/STENT",620,0.0%,Procedure,CPT4,66174,CPT4
8224245,"","",CPT4,LAB11337,MONKEYPOX VIRUS PCR,615,0.0%,"","","",""
1870003,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm",2101984,CPT4,11424,PR EXC SKIN BENIG 3.1-4CM REMAINDR BODY,615,0.0%,Procedure,CPT4,11424,CPT4
5537439,"Intracardiac catheter ablation of atrioventricular node function, atrioventricular conduction for creation of complete heart block, with or without temporary pacemaker placement",2313938,CPT4,93650,PR ICAR CATHETER ABLATION ATRIOVENTR NODE FUNCTION,614,0.0%,Procedure,CPT4,93650,CPT4
5276518,"Arthroscopy, hip, surgical; with labral repair",40756992,CPT4,29916,PR ARTHROSCOPY HIP W/LABRAL REPAIR,613,0.0%,Procedure,CPT4,29916,CPT4
9011172,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 12.6 cm to 20.0 cm",2102153,CPT4,12005,PR REPR SUPERF WND BODY 12.6-20,613,0.0%,Procedure,CPT4,12005,CPT4
1038215,Anesthesia for diagnostic or therapeutic nerve blocks and injections (when block or injection is performed by a different physician or other qualified health care professional); other than the prone position,2101820,CPT4,01991,PR ANES DX/THER NRV BLK/NJX OTH/THN PRONE POS,612,0.0%,Procedure,CPT4,01991,CPT4
4800127,"Injection(s), anesthetic agent(s) and/or steroid; intercostal nerve, each additional level (List separately in addition to code for primary procedure)",2110757,CPT4,64421,PR INJECTION AA&/STRD INTERCOSTAL NRV EA ADDL LVL,610,0.0%,Procedure,CPT4,64421,CPT4
7141118,"Revision of total knee arthroplasty, with or without allograft; femoral and entire tibial component",2105129,CPT4,27487,"PR REVISE KNEE JOINT REPLACE,ALL PARTS",610,0.0%,Procedure,CPT4,27487,CPT4
8285213,"Removal of nephrostomy tube, requiring fluoroscopic guidance (eg, with concurrent indwelling ureteral stent)",2109595,CPT4,50389,PR REMOVE RENAL TUBE W/FLUORO,609,0.0%,Procedure,CPT4,50389,CPT4
3807066,"Revision or repair of operative wound of anterior segment, any type, early or late, major or minor procedure",2110985,CPT4,66250,PR REVIS/REPAIR OP WOUND ANTER SGMT,609,0.0%,Procedure,CPT4,66250,CPT4
7792302,"Secondary closure of surgical wound or dehiscence, extensive or complicated",2102238,CPT4,13160,PR SECD CLOS SURG WND EXTEN/COMPLIC,608,0.0%,Procedure,CPT4,13160,CPT4
2166667,"","",CPT4,81015,HC URINE SEDIMENT (MICRO),607,0.0%,"","","",""
3959853,"Arthroscopy, knee, surgical; synovectomy, limited (eg, plica or shelf resection) (separate procedure)",2106020,CPT4,29875,"PR KNEE SCOPE,PART SYNOVECT",605,0.0%,Procedure,CPT4,29875,CPT4
1863260,"Biopsy, muscle; deep",2102838,CPT4,20205,PR DEEP MUSCLE BIOPSY,605,0.0%,Procedure,CPT4,20205,CPT4
6964604,"Esophagogastroduodenoscopy, flexible, transoral; with placement of endoscopic stent (includes pre- and post-dilation and guide wire passage, when performed)",44816418,CPT4,43266,PR EGD ENDOSCOPIC STENT PLACEMENT W/WIRE& DILATION,605,0.0%,Procedure,CPT4,43266,CPT4
8556332,"Arthroscopy, ankle, surgical, excision of osteochondral defect of talus and/or tibia, including drilling of the defect",2106054,CPT4,29891,"PR ANKLE SCOPE,EXCIS OSTEOCHON DEFCT",605,0.0%,Procedure,CPT4,29891,CPT4
2747507,"Ablation, soft tissue of inferior turbinates, unilateral or bilateral, any method (eg, electrocautery, radiofrequency ablation, or tissue volume reduction); superficial",2106287,CPT4,30801,"PR CAUTER TURBINATE MUCOSA,SUPERFICIAL",605,0.0%,Procedure,CPT4,30801,CPT4
8940058,"Computed tomographic angiography, upper extremity, with contrast material(s), including noncontrast images, if performed, and image postprocessing",2211464,CPT4,73206,"PR CT ANGIO,UPPER EXTREM,COMBO",603,0.0%,Procedure,CPT4,73206,CPT4
3896145,"Peri-procedural device evaluation (in person) and programming of device system parameters before or after a surgery, procedure, or test with analysis, review and report by a physician or other qualified health care professional; single, dual, or multiple",2313854,CPT4,93287,PR PERI-PX DEV EVAL & PROG SING/DUAL/MULTI LEAD DFB,601,0.0%,Procedure,CPT4,93287,CPT4
4827065,"Sigmoidoscopy, flexible; with endoscopic ultrasound examination",2109190,CPT4,45341,PR SIGMOIDOSCOPY FLX NDSC US XM,601,0.0%,Procedure,CPT4,45341,CPT4
8020324,"Vitrectomy, mechanical, pars plana approach; with endolaser panretinal photocoagulation",2111031,CPT4,67040,"PR VITRECTOMY,PANRETINAL LASER RX",600,0.0%,Procedure,CPT4,67040,CPT4
4558202,"Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of moderate complexity. Counseling and/or coordinatio",2414393,CPT4,99204,HC VISIT CLINIC NEW LVL IV,600,0.0%,Procedure,CPT4,99204,CPT4
8849217,"Pleural drainage, percutaneous, with insertion of indwelling catheter; with imaging guidance",43527917,CPT4,32557,PR PERQ DRAINAGE PLEURA INSERT CATH W/IMAGING,598,0.0%,Procedure,CPT4,32557,CPT4
3301845,"Insertion or replacement of peripheral or gastric neurostimulator pulse generator or receiver, direct or inductive coupling",2110794,CPT4,64590,PR IMPLANT GASTRIC NEUROSTIM/RECEIVER,596,0.0%,Procedure,CPT4,64590,CPT4
7251765,"Domiciliary or rest home visit for the evaluation and management of a new patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination",2514474,CPT4,99328,PR DOM/R-HOME E/M NEW PT SIGNIF NEW PROB 75 MINUTES,594,0.0%,Procedure,CPT4,99328,CPT4
9422705,Excision of pilonidal cyst or sinus; extensive,2102098,CPT4,11771,PR REMV PILONIDAL LESION EXTENS,593,0.0%,Procedure,CPT4,11771,CPT4
7728554,"Testing of autonomic nervous system function; sudomotor, including 1 or more of the following: quantitative sudomotor axon reflex test (QSART), silastic sweat imprint, thermoregulatory sweat test, and changes in sympathetic skin potential",2314138,CPT4,95923,"PR TEST AUTO NERV SYS,SUDOMOTOR",593,0.0%,Procedure,CPT4,95923,CPT4
5281588,"Destruction, malignant lesion (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), trunk, arms or legs; lesion diameter 0.5 cm or less",2102596,CPT4,17260,"PR DESTR MALIG TRUNK,EXTREM <0.6 CM",592,0.0%,Procedure,CPT4,17260,CPT4
3401361,"Unlisted laparoscopic procedure, liver",2109338,CPT4,47379,"PR UNLISTED LAPAROSCOPIC PROC, LIVER",592,0.0%,Procedure,CPT4,47379,CPT4
1882068,"Nasal/sinus endoscopy, surgical; with dacryocystorhinostomy",2106404,CPT4,31239,"PR NASAL/SINUS SCOPY,SURG TEAR DUCT",592,0.0%,Procedure,CPT4,31239,CPT4
6492226,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with therapeutic aspiration of tracheobronchial tree, initial",2106611,CPT4,31645,PR BRONCHOSCOPY W/THER ASPIR TRACHBRNCL TREE 1ST,591,0.0%,Procedure,CPT4,31645,CPT4
5696587,Cystourethroscopy with irrigation and evacuation of multiple obstructing clots,2109767,CPT4,52001,PR CYSTOURETHROSCOPY W/IRRIG & EVAC CLOTS,591,0.0%,Procedure,CPT4,52001,CPT4
2058876,Amiodarone,759656,CPT4,80151,"HC AMIODARONE, THERAPEUTIC",587,0.0%,Procedure,CPT4,80151,CPT4
6993163,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm",2101985,CPT4,11426,PR EXC SKIN BENIG >4CM REMAINDR BODY,586,0.0%,Procedure,CPT4,11426,CPT4
9072168,"Radiation treatment delivery, >/=1 MeV; simple",2211859,CPT4,77402,CHG RADIATION TREATMENT DELIVERY 1 MEV+ SIMPLE,586,0.0%,Procedure,CPT4,77402,CPT4
6555431,"Transcatheter placement of an intravascular stent(s) (except lower extremity artery(s) for occlusive disease, cervical carotid, extracranial vertebral or intrathoracic carotid, intracranial, or coronary), open or percutaneous, including radiological super",44816399,CPT4,37236,PR OPEN/PERQ PLACEMENT INTRAVASCULAR STENT INITIAL,586,0.0%,Procedure,CPT4,37236,CPT4
9019470,"Reinsertion of ruptured biceps or triceps tendon, distal, with or without tendon graft",2103905,CPT4,24342,"PR REINSERT BI/TRICEPS TENDON,DISTAL",586,0.0%,Procedure,CPT4,24342,CPT4
5464800,Bioimpedance-derived physiologic cardiovascular analysis,2313944,CPT4,93701,PR BIOIMPEDANCE DERIVED PHYSIOLOIC CV ANALYSIS,585,0.0%,Procedure,CPT4,93701,CPT4
5185967,"Repair, primary, disrupted ligament, ankle; collateral",2105322,CPT4,27695,"PR REPAIR 1 COLLAT ANKLE LIGMNT,PRIMARY",585,0.0%,Procedure,CPT4,27695,CPT4
6099552,"Plastic operation of penis for straightening of chordee (eg, hypospadias), with or without mobilization of urethra",2109931,CPT4,54300,PR STRAIGHTEN PENIS,585,0.0%,Procedure,CPT4,54300,CPT4
7230313,"Sigmoidoscopy, flexible; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique",2109187,CPT4,45338,PR SGMDSC FLX RMVL TUM POLYP/OTH LES SNARE TQ,584,0.0%,Procedure,CPT4,45338,CPT4
7780350,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with destruction of tumor or relief of stenosis by any method other than excision (eg, laser therapy, cryotherapy)",2106609,CPT4,31641,"PR BRONCHOSCOPY,RX STENOSIS",583,0.0%,Procedure,CPT4,31641,CPT4
1305551,"Complex cystometrogram (ie, calibrated electronic equipment); with urethral pressure profile studies (ie, urethral closure pressure profile), any technique",40756918,CPT4,51727,PR COMPLEX CYSTOMETROGRAM URETHRAL PRESS PROFILE,580,0.0%,Procedure,CPT4,51727,CPT4
2244704,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 5.1 cm to 7.5 cm",2102199,CPT4,12053,"PR LAYR CLOS WND FACE,FACIAL 5.1-7.5 CM",579,0.0%,Procedure,CPT4,12053,CPT4
6166920,"Pulmonary compliance study (eg, plethysmography, volume and pressure measurements)",2314046,CPT4,94750,PR PULMONARY COMPLIANCE STUDY,579,0.0%,Procedure,CPT4,94750,CPT4
5471296,"Kidney imaging morphology; with vascular flow and function, single study without pharmacological intervention",2212032,CPT4,78707,"PR RENAL IMAGING, MORPH W/ FLOW/FUNC",579,0.0%,Procedure,CPT4,78707,CPT4
9048178,"Insertion of anterior segment aqueous drainage device, without extraocular reservoir, external approach",44816348,CPT4,66183,PR INSERT ANTER DRAINAGE DEV W/O EXTRAOC RESERVOIR,579,0.0%,Procedure,CPT4,66183,CPT4
6825548,"Anesthesia for vaginal procedures (including biopsy of labia, vagina, cervix or endometrium); vaginal hysterectomy",2101592,CPT4,00944,"PR ANESTH,VAGINAL HYSTERECTOMY",579,0.0%,Procedure,CPT4,00944,CPT4
6600048,"","",CPT4,81305,HC MYD88 MUTATION ANLYS BLOOD/BM (QUEST #91771),578,0.0%,"","","",""
4320497,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm",2102055,CPT4,11623,PR EXC SKIN MALIG 2.1-3CM REMAINDR BODY,578,0.0%,Procedure,CPT4,11623,CPT4
1668714,Closed treatment of radial head or neck fracture; without manipulation,2104017,CPT4,24650,PR CLOSED RX RADIAL HEAD/NECK FX,578,0.0%,Procedure,CPT4,24650,CPT4
8673790,"Adenoidectomy, primary; age 12 or over",2108820,CPT4,42831,"PR REMOVAL ADENOIDS,PRIMARY,12+ Y/O",576,0.0%,Procedure,CPT4,42831,CPT4
5645774,"","",CPT4,98980,PR REMOTE THER MNTR TX MGMT PHYS/QHP 1ST 20 MIN,576,0.0%,"","","",""
8288254,"Thoracentesis, needle or catheter, aspiration of the pleural space; without imaging guidance",43527914,CPT4,32554,PR THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING,575,0.0%,Procedure,CPT4,32554,CPT4
5568123,"Laryngoscopy direct, with or without tracheoscopy; diagnostic, except newborn",2106489,CPT4,31525,"PR LARYNGOSCOPY,DIRECT,DIAGNOSTIC",574,0.0%,Procedure,CPT4,31525,CPT4
7222691,"Electroretinography (ERG), with interpretation and report; full field (ie, ffERG, flash ERG, Ganzfeld ERG)",927159,CPT4,92273,HC FULL FIELD ERG W/I&R,573,0.0%,Procedure,CPT4,92273,CPT4
1251959,Percutaneous transluminal coronary angioplasty; each additional branch of a major coronary artery (List separately in addition to code for primary procedure),43527995,CPT4,92921,PR PRQ TRLUML CORONARY ANGIOPLASTY ADDL BRANCH,573,0.0%,Procedure,CPT4,92921,CPT4
1145819,"Replacement of duodenostomy or jejunostomy tube, percutaneous, under fluoroscopic guidance including contrast injection(s), image documentation and report",2109479,CPT4,49451,PR REPLACE DUODENOSTOMY/JEJUNOSTOMY TUBE PERCUTANEOUS,572,0.0%,Procedure,CPT4,49451,CPT4
7691640,"","",CPT4,91311,"PR MODERNA SARS-COV-2, COVID-19 VACCINE, MRNA 25 MCG/0.25ML, IM TRIS SUCR 6 MO - 5 YRS",570,0.0%,"","","",""
7979908,Daily hospital management of epidural or subarachnoid continuous drug administration,2101823,CPT4,01996,"PR DAILY MGMT,EPIDUR/SUBARACH CONT DRUG ADM",570,0.0%,Procedure,CPT4,01996,CPT4
3145331,"Low frequency, non-contact, non-thermal ultrasound, including topical application(s), when performed, wound assessment, and instruction(s) for ongoing care, per day",44816522,CPT4,97610,PR LOW FREQUENCY NON-THERMAL ULTRASOUND PER DAY,570,0.0%,Procedure,CPT4,97610,CPT4
8532465,Hearing aid check; monaural,2313755,CPT4,92592,"PR HEARING AID CHECK, ONE EAR",569,0.0%,Procedure,CPT4,92592,CPT4
1587009,"Magnetic resonance (eg, proton) imaging, fetal, including placental and maternal pelvic imaging when performed; single or first gestation",42627901,CPT4,74712,HC MRI FETAL SNGL/1ST GESTATION,567,0.0%,Procedure,CPT4,74712,CPT4
1119447,"","",CPT4,93319,HC 3D ECHO IMG CGEN CAR ANOMAL,565,0.0%,"","","",""
2464945,"Electroencephalogram (EEG), continuous recording, physician or other qualified health care professional review of recorded events, analysis of spike and seizure detection, each increment of greater than 12 hours, up to 26 hours of EEG recording, interpret",710034,CPT4,95719,HCPR EEG PHYS/QHP EA INCR W/O VID,565,0.0%,Procedure,CPT4,95719,CPT4
9474704,"Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnos",2514517,CPT4,99382,HC PREVENTIVE MED NEW 1-4 YRS,565,0.0%,Procedure,CPT4,99382,CPT4
4976390,"","",CPT4,99341,"PR HOME OR RESIDENCE VISIT FOR E&M OF A NEW PAT, REQUIRES A MEDICALLY APPROP HISTORY AND/OR EXAM & STRAIGHTFWD MDM. WHEN USING TOTAL TIME ON ENC DATE, 15 MIN MUST BE MET OR EXCEED",564,0.0%,"","","",""
1411887,Surgical treatment of anal fistula (fistulectomy/fistulotomy); intersphincteric,2109253,CPT4,46275,"PR REMOVAL ANAL FISTULA,INTERSPNINCTERIC",563,0.0%,Procedure,CPT4,46275,CPT4
8856367,"Cardiac blood pool imaging, gated equilibrium; planar, single study at rest or stress (exercise and/or pharmacologic), wall motion study plus ejection fraction, with or without additional quantitative processing",2211991,CPT4,78472,"PR GATED HEART, PLANAR SINGLE",562,0.0%,Procedure,CPT4,78472,CPT4
6916563,"","",CPT4,80159,HC CLOZAPINE LEVEL,561,0.0%,"","","",""
7254955,"Repair, intermediate, wounds of scalp, axillae, trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm",2102168,CPT4,12035,"PR LAYR CLOS WND TRUNK,ARM,LEG 12.6-20 CM",560,0.0%,Procedure,CPT4,12035,CPT4
4153484,"Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diag",2514529,CPT4,99397,HC PREVENTIVE MED ESTAB > 65 YRS,560,0.0%,Procedure,CPT4,99397,CPT4
7435497,"Positional nystagmus test, minimum of 4 positions, with recording",2313715,CPT4,92542,PR POSITIONAL NYSTAGMUS TEST,560,0.0%,Procedure,CPT4,92542,CPT4
2368058,"Carbon dioxide, expired gas determination by infrared analyzer",2314050,CPT4,94770,PR EXHALED CARBON DIOXIDE TEST,559,0.0%,Procedure,CPT4,94770,CPT4
3278060,"Unlisted procedure, skin, mucous membrane and subcutaneous tissue",2102657,CPT4,17999,PR SKIN TISSUE PROCEDURE UNLISTED,559,0.0%,Procedure,CPT4,17999,CPT4
7484660,Closed treatment of radial and ulnar shaft fractures; with manipulation,2104275,CPT4,25565,"PR CLOSED RX RAD/ULNA SHAFT FX,MANIP",557,0.0%,Procedure,CPT4,25565,CPT4
3364031,Physician or other qualified health care professional services for outpatient cardiac rehabilitation; without continuous ECG monitoring (per session),2313971,CPT4,93797,PR OUTPATIENT CARDIAC REHAB W/O CONT ECG MONITOR,556,0.0%,Procedure,CPT4,93797,CPT4
4267797,"Drainage external ear, abscess or hematoma; simple",2111185,CPT4,69000,"PR DRAIN EXT EAR ABSC/BLOOD,SIMPLE",555,0.0%,Procedure,CPT4,69000,CPT4
1132210,"Psychological testing (includes psychodiagnostic assessment of emotionality, intellectual abilities, personality and psychopathology, eg, MMPI), administered by a computer, with qualified health care professional interpretation and report",2314187,CPT4,96103,PR PSYCHOLOGIC TESTING ADMIN BY COMPUTER,555,0.0%,Procedure,CPT4,96103,CPT4
2375714,"Injection(s), anesthetic agent(s) and/or steroid; paracervical (uterine) nerve",2110760,CPT4,64435,PR INJECTION AA&/STRD PARACERVICAL NERVE,554,0.0%,Procedure,CPT4,64435,CPT4
3515620,"Revision of total knee arthroplasty, with or without allograft; 1 component",2105128,CPT4,27486,"PR REVISE KNEE JOINT REPLACE,1 PART",551,0.0%,Procedure,CPT4,27486,CPT4
2698827,"","",CPT4,ECON20,E-CONSULT PEDI ENDOCRINE - DO NOT ORDER THIS ONE,551,0.0%,"","","",""
4591211,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s)",2110175,CPT4,58150,PR TOTAL ABDOM HYSTERECTOMY,551,0.0%,Procedure,CPT4,58150,CPT4
6299397,Injection of contrast for knee arthrography,2105023,CPT4,27370,PR INJECTION KNEE ARTHROGRAPHY,550,0.0%,Procedure,CPT4,27370,CPT4
2597070,"Removal of biliary drainage catheter, percutaneous, requiring fluoroscopic guidance (eg, with concurrent indwelling biliary stents), including diagnostic cholangiography when performed, imaging guidance (eg, fluoroscopy), and all associated radiological s",42627935,CPT4,47537,HC REMOVAL BILIARY DRG CATH,549,0.0%,Procedure,CPT4,47537,CPT4
1698557,"Injection(s), anesthetic agent(s) and/or steroid; ilioinguinal, iliohypogastric nerves",2110758,CPT4,64425,PR INJECTION AA&/STRD ILIOINGUINAL IH NERVES,549,0.0%,Procedure,CPT4,64425,CPT4
6016360,"Injection(s), anesthetic agent(s) and/or steroid; suprascapular nerve",2110755,CPT4,64418,PR INJECTION AA&/STRD SUPRASCAPULAR NERVE,547,0.0%,Procedure,CPT4,64418,CPT4
1230223,"","",CPT4,4011F,PR ORAL ANTIPLATELET T THERAPY PRESCRIBED,547,0.0%,"","","",""
8626419,"Electronic analysis of programmable, implanted pump for intrathecal or epidural drug infusion (includes evaluation of reservoir status, alarm status, drug prescription status); with reprogramming",2110633,CPT4,62368,PR ANALYZE INFUSN PUMP+REPROGRAM,547,0.0%,Procedure,CPT4,62368,CPT4
7676373,"Excision, interdigital (Morton) neuroma, single, each",2105510,CPT4,28080,"PR EXCIS INTERDIGITAL NEUROMA,EA",544,0.0%,Procedure,CPT4,28080,CPT4
8412021,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, includes internal fixation, when performed, includes repair of tuberosity(s), when performed",2103757,CPT4,23615,OPEN TREATMENT PROX HUMERAL FRACTURE,543,0.0%,Procedure,CPT4,23615,CPT4
1653603,"Percutaneous skeletal fixation of unstable phalangeal shaft fracture, proximal or middle phalanx, finger or thumb, with manipulation, each",2104675,CPT4,26727,PR PERCUT RX PROX/MID FING SHFT FX,543,0.0%,Procedure,CPT4,26727,CPT4
6275633,"Naso- or oro-gastric tube placement, requiring physician's skill and fluoroscopic guidance (includes fluoroscopy, image documentation and report)",2108983,CPT4,43752,PR PLACEMENT NG/OG TUBE BY PHYSICIAN,543,0.0%,Procedure,CPT4,43752,CPT4
2333218,Anesthesia for open or surgical arthroscopic procedures of the elbow; not otherwise specified,2101737,CPT4,01740,"PR ANESTH,ELBOW,NOS",542,0.0%,Procedure,CPT4,01740,CPT4
6612267,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); with intact or reconstructed wall, without ossicular chain reconstruction",2111242,CPT4,69643,"PR TYMPANOPLAS/MASTOIDEC,INTACT WALL",541,0.0%,Procedure,CPT4,69643,CPT4
5154890,No matching concept,0,CPT4,81408,HC COL1A & COL1A2 COMPREHENSIVE,541,0.0%,Metadata,None,No matching concept,Undefined
9457292,"Osteotomy; calcaneus (eg, Dwyer or Chambers type procedure), with or without internal fixation",2105648,CPT4,28300,PR OSTEOTOMY HEEL BONE,540,0.0%,Procedure,CPT4,28300,CPT4
7510654,"","",CPT4,4044F,PR DOC ORDER VTE PROPHYL W/IN 24 HRS BEFORE SURGERY,540,0.0%,"","","",""
1071165,"Temporary closure of eyelids by suture (eg, Frost suture)",2111107,CPT4,67875,PR TEMP CLOSURE EYELID BY SUTURE,540,0.0%,Procedure,CPT4,67875,CPT4
8038958,"Quantitative differential pulmonary perfusion, including imaging when performed",42742556,CPT4,78597,PR QUANT DIFFERENTIAL PULM PERFUSION W/WO IMAGING,540,0.0%,Procedure,CPT4,78597,CPT4
9335042,Injection of medication or other substance into Tenon's capsule,2111088,CPT4,67515,"PR INJ,THER AGENT INTO TENON'S CAPSULE",539,0.0%,Procedure,CPT4,67515,CPT4
3684463,Anesthesia for open procedures involving hip joint; revision of total hip arthroplasty,2101635,CPT4,01215,"PR ANESTH,REVISE TOTAL HIP ARTHROPLASTY",538,0.0%,Procedure,CPT4,01215,CPT4
2064945,Excision of pilonidal cyst or sinus; complicated,2102099,CPT4,11772,PR REMV PILONIDAL LESION COMPLIC,536,0.0%,Procedure,CPT4,11772,CPT4
5039509,"","",CPT4,90611,PR SMALLPOX&MONKEYPOX VACC 0.5ML DOS FOR SUBQ USE,536,0.0%,"","","",""
8088755,"Arteriovenous anastomosis, open; by upper arm basilic vein transposition",2108280,CPT4,36819,"PR AV ANAST,UP ARM BASILIC VEIN TRANSPOSIT",536,0.0%,Procedure,CPT4,36819,CPT4
6007103,"","",CPT4,90384,"PR RH IG, FULL-DOSE, IM",535,0.0%,"","","",""
1449699,"Color vision examination, extended, eg, anomaloscope or equivalent",2313664,CPT4,92283,PR COLOR VISION EXAMINATION,534,0.0%,Procedure,CPT4,92283,CPT4
4869002,"Percutaneous transcatheter placement of intracoronary stent(s), with coronary angioplasty when performed; each additional branch of a major coronary artery (List separately in addition to code for primary procedure)",43527999,CPT4,92929,PR PRQ TRLUML CORONARY STENT W/ANGIO ADDL ART/BRNCH,534,0.0%,Procedure,CPT4,92929,CPT4
8219393,Anesthesia for procedures in lumbar region; diagnostic or therapeutic lumbar puncture,2100901,CPT4,00635,"PR ANESTH,LUMBAR PUNCTURE",533,0.0%,Procedure,CPT4,00635,CPT4
9100282,"Probing of nasolacrimal duct, with or without irrigation",2111178,CPT4,68810,PR PROBE NASOLACRIMAL DUCT,533,0.0%,Procedure,CPT4,68810,CPT4
2470592,"Application, cast; hand and lower forearm (gauntlet)",2105845,CPT4,29085,PR APPLY HAND/WRIST CAST,533,0.0%,Procedure,CPT4,29085,CPT4
3981711,"Tenolysis, flexor or extensor tendon, leg and/or ankle; single, each tendon",2105304,CPT4,27680,"PR RELEASE TIB/FIB/ANKLE FLEX TENDON,EA",533,0.0%,Procedure,CPT4,27680,CPT4
